Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Nagaraja Moorthy,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",20 Years Experience Overall  (10 years as specialist),"Hulimavu, Bangalore",Bangalore,99%,(218 votes),₹ 700 fee
Dr. Roopa. R,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",24 Years Experience Overall  (11 years as specialist),"Banashankari 2nd Stage, Bangalore",Bangalore,95%,(180 votes),₹ 650 fee
Dr. B. Ramesh,Cardiologist,"DM - Cardiology, MD - General Medicine, MBBS",37 Years Experience Overall  (32 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,98%,(987 votes),₹ 1000 fee
Dr. Jayaranganath M,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",35 Years Experience Overall  (28 years as specialist),"Seshadripuram, Bangalore",Bangalore,91%,(23 votes),₹ 900 fee
Dr. Sunil Kumar S,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, Fellowship In Interventional  Cardiology",19 Years Experience Overall  (9 years as specialist),"Hebbal, Bangalore",Bangalore,100%,(46 votes),₹ 1000 fee
Dr. Venkatesh S,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",29 Years Experience Overall  (19 years as specialist),"JP Nagar, Bangalore",Bangalore,97%,(36 votes),₹ 1050 fee
Dr. K P Srihari Das,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",29 Years Experience Overall  (18 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,97%,(62 votes),₹ 750 fee
Dr. Abhijit Vilas Kulkarni,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine",21 Years Experience Overall  (11 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,97%,(32 votes),₹ 1000 fee
Dr. C.M Nagesh,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",24 Years Experience Overall  (13 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,100%,(13 votes),₹ 1000 fee
Dr. Ramnaresh Soudri,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",6 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,97%,(30 votes),₹ 800 fee
Dr. Venkatesh T K,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",37 Years Experience Overall  (12 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,97%,(30 votes),₹ 1000 fee
Dr. Prajith Pasam,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",10 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,97%,(30 votes),₹ 600 fee
