Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Sumanth Shetty,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",24 Years Experience Overall,"Koramangala, Bangalore",Bangalore,97%,(4311 votes),₹300
Dr. Jnanesha H.C,Dentist,"BDS, MDS - Orthodontics",21 Years Experience Overall  (16 years as specialist),"Jayanagar 4 Block, Bangalore",Bangalore,98%,(260 votes),₹300
Dr. J Samuel Santosh,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",17 Years Experience Overall  (13 years as specialist),"Whitefield, Bangalore",Bangalore,94%,(71 votes),₹300
Dr. M J Murali,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",26 Years Experience Overall  (21 years as specialist),"Indiranagar, Bangalore",Bangalore,99%,(148 votes),₹300
Dr. Ganesh Shetty,Dentist,"BDS, MICOI (USA)",25 Years Experience Overall,"Kalyan Nagar, Bangalore",Bangalore,98%,(3788 votes),₹500
Dr. Sindhu S Kumar,Dentist,BDS,14 Years Experience Overall,"Jayanagar 4 Block, Bangalore",Bangalore,100%,(14 votes),₹300
Dr. K.A. Mohan,Dentist,"BDS, MDS - Orthodontics",54 Years Experience Overall  (47 years as specialist),"Domlur, Bangalore",Bangalore,100%,(20 votes),₹500
Dr. Anuradha Navaneetham,Dentist,"BDS, MDS - Oral Surgery, Fellowship and Diplomate in Implantology from ICOI (USA)",38 Years Experience Overall,"Richmond Town, Bangalore",Bangalore,94%,(309 votes),₹500
Dr. Akshai Shetty,Dentist,"BDS, MDS - Orthodontics",26 Years Experience Overall  (21 years as specialist),"HSR Layout, Bangalore",Bangalore,97%,(526 votes),₹500
Dr. Shobith R Shetty,Dentist,"BDS, MDS- Oral Pathology",17 Years Experience Overall,"Indiranagar, Bangalore",Bangalore,97%,(525 votes),₹400
Dr. Vivekananda Reddy,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",22 Years Experience Overall,"Hoodi, Bangalore",Bangalore,100%,(107 votes),₹500
Dr. Baswaraj Biradar,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",26 Years Experience Overall,"Sahakaranagar, Bangalore",Bangalore,99%,(2132 votes),₹400
Dr. Sunil Rao,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",27 Years Experience Overall,"Vijayanagar, Bangalore",Bangalore,98%,(375 votes),₹500
Dr. Pramod,Dentist,"MDS - Orthodontics, BDS",19 Years Experience Overall  (14 years as specialist),"Koramangala, Bangalore",Bangalore,98%,(701 votes),₹500
Dr. Prafulla Biradar,Dentist,"BDS, MDS - Periodontology and Oral Implantology",22 Years Experience Overall  (16 years as specialist),"Sahakaranagar, Bangalore",Bangalore,99%,(423 votes),₹400
Dr. K. Prapanna Arya,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",19 Years Experience Overall  (13 years as specialist),"Domlur, Bangalore",Bangalore,99%,(423 votes),₹500
Dr. Mini Naik,Dentist,BDS,31 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,100%,(23 votes),₹500
Dr. Anjali Shetty,Dentist,"BDS, MDS - Orthodontics",21 Years Experience Overall  (16 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,99%,(1528 votes),₹500
Dr. Rashmi Shetty,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",18 Years Experience Overall,"Koramangala, Bangalore",Bangalore,99%,(4268 votes),₹350
Dr. Ashish Shetty,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",24 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,96%,(446 votes),₹500
Dr. Lakshmi Roopesh,Dentist,BDS,19 Years Experience Overall,"HRBR Layout, Bangalore",Bangalore,98%,(658 votes),₹500
Dr. Venkatesh M J,Dentist,BDS,28 Years Experience Overall  (25 years as specialist),"Indiranagar, Bangalore",Bangalore,94%,(32 votes),₹300
Dr. Jaswanth Reddy,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",17 Years Experience Overall  (16 years as specialist),"Marathahalli, Bangalore",Bangalore,96%,(159 votes),₹350
Dr. Kamal Odedra,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",12 Years Experience Overall  (11 years as specialist),"Marathahalli, Bangalore",Bangalore,100%,(37 votes),₹ 550 fee
Dr. Pranay,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",13 Years Experience Overall  (12 years as specialist),"Marathahalli, Bangalore",Bangalore,97%,(3307 votes),₹ 550 fee
Dr. Vinay Anvekar,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",20 Years Experience Overall  (18 years as specialist),"BTM Layout 1st Stage, Bangalore",Bangalore,97%,(300 votes),₹ 200 fee
Dr. Krishnanand,Dentist,"BDS, MDS - Periodontics",12 Years Experience Overall  (11 years as specialist),"Varthur, Bangalore",Bangalore,100%,(1605 votes),₹ 200 fee
Dr. Mahantesh,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",15 Years Experience Overall  (11 years as specialist),"Sarjapur Road, Bangalore",Bangalore,99%,(1370 votes),₹500
Dr. Mallayya R. Pujari,Dentist,"BDS, MDS - Oral Medicine and Radiology",17 Years Experience Overall  (12 years as specialist),"Marathahalli, Bangalore",Bangalore,96%,(3922 votes),₹200
Dr. Aman Sodhi,Dentist,"BDS, MDS - Oral Medicine and Radiology",21 Years Experience Overall,"Arekere, Bangalore",Bangalore,99%,(750 votes),₹300
Dr. Pramod Kumar Pillai,Dentist,"BDS, Diploma in Implanthology",16 Years Experience Overall  (15 years as specialist),"RT Nagar, Bangalore",Bangalore,100%,(186 votes),₹400
Dr. Adarsha Kannan,Dentist,BDS,28 Years Experience Overall,"Seegehalli, Bangalore",Bangalore,95%,(77 votes),₹400
Dr. Swetha Raghavendra,Dentist,BDS,21 Years Experience Overall  (19 years as specialist),"Rajajinagar, Bangalore",Bangalore,96%,(120 votes),₹300
Dr. (Col) M. C. Sharma,Dentist,"BDS, MDS - Prosthodontics",37 Years Experience Overall  (36 years as specialist),"Frazer Town, Bangalore",Bangalore,96%,(944 votes),₹500
Dr. Nishanth Shetty,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics, Fellowship in Aesthetic Medicine (FAM)",12 Years Experience Overall  (7 years as specialist),"Whitefield, Bangalore",Bangalore,100%,(883 votes),₹200
Dr. Yogesh T Lakkashetty,Dentist,"BDS, MDS- Oral Pathology",21 Years Experience Overall  (20 years as specialist),"Sanjay Nagar, Bangalore",Bangalore,100%,(533 votes),₹ 300 fee
Dr. Sunila Sampath Kumar,Dentist,BDS,28 Years Experience Overall  (26 years as specialist),"HSR Layout, Bangalore",Bangalore,94%,(306 votes),₹ 400 fee
Dr. Poorvi Shrivastava,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",12 Years Experience Overall  (11 years as specialist),"Marathahalli, Bangalore",Bangalore,98%,(58 votes),₹200
Dr. Krishna Swaroop Achanta,Dentist,BDS,8 Years Experience Overall,"Padmanabhanagar, Bangalore",Bangalore,100%,(281 votes),₹250
Dr. Arati Sundar Rajan,Dentist,BDS,27 Years Experience Overall,"Basavanagudi, Bangalore",Bangalore,97%,(231 votes),₹450
Dr. Raghavendra K,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",26 Years Experience Overall  (25 years as specialist),"Rajajinagar, Bangalore",Bangalore,94%,(145 votes),₹500
Dr. Raadhikka Karthhik,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",18 Years Experience Overall  (17 years as specialist),"Yelahanka, Bangalore",Bangalore,96%,(291 votes),₹300
Dr. Poojitha,Dentist,BDS,11 Years Experience Overall,"Kasturi nagar, Bangalore",Bangalore,96%,(103 votes),₹200
Dr. Anju Thomas,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",12 Years Experience Overall,"Indiranagar, Bangalore",Bangalore,100%,(576 votes),₹400
