Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Deepak Devakar,Dermatologist,"MBBS, DDVL",19 Years Experience Overall  (14 years as specialist),"JP Nagar, Bangalore",Bangalore,98%,(2477 votes),₹ 600 fee
Dr. Neelima Sharma,Dermatologist,"MBBS, DNB - Dermatology, Venereology & Leprosy",24 Years Experience Overall  (17 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,95%,(76 votes),₹ 650 fee
Dr. Sankeerth Vijayakumar,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13 Years Experience Overall  (7 years as specialist),"HSR Layout, Bangalore",Bangalore,97%,(471 votes),₹ 700 fee
Dr. Sheelavathi Natraj,Dermatologist,"MBBS, DDVL",19 Years Experience Overall  (9 years as specialist),"JP Nagar, Bangalore",Bangalore,94%,(1344 votes),₹ 700 fee
Dr. Shashidhar T,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",16 Years Experience Overall  (10 years as specialist),"Jayanagar 4 Block, Bangalore",Bangalore,98%,(5381 votes),₹ 700 fee
Dr. Harish Prasad B.R,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",16 Years Experience Overall  (9 years as specialist),"BTM Layout, Bangalore",Bangalore,96%,(687 votes),₹ 700 fee
Dr. Sridhar Gogineni,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",17 Years Experience Overall  (8 years as specialist),"Marathahalli, Bangalore",Bangalore,98%,(890 votes),₹ 600 fee
Dr. Shankar D Desai,Dermatologist,"MBBS, MD - Skin,VD & Leprosy",38 Years Experience Overall  (37 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,65%,(20 votes),₹ 850 fee
Dr. Safia Tanyeem,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13 Years Experience Overall  (7 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,92%,(89 votes),₹ 750 fee
Dr. Sujaya S.N.,Dermatologist,"MBBS, DDVL",19 Years Experience Overall  (15 years as specialist),"HRBR Layout, Bangalore",Bangalore,98%,(536 votes),₹ 750 fee
Dr. K C Dharam Kumar,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology, Venereology & Leprosy",9 Years Experience Overall  (5 years as specialist),"JP Nagar, Bangalore",Bangalore,99%,(181 votes),₹ 750 fee
Dr. Veena Rao,Dermatologist,"MBBS, Diploma in Dermatology",24 Years Experience Overall  (16 years as specialist),"Jayanagar 5 Block, Bangalore",Bangalore,96%,(211 votes),₹ 600 fee
Dr. Namrata Singh,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10 Years Experience Overall  (2 years as specialist),"HSR Layout, Bangalore",Bangalore,100%,(54 votes),₹ 600 fee
Dr. Swetha Gowda,Dermatologist,"MBBS, MD - Dermatology",12 Years Experience Overall  (8 years as specialist),"Indiranagar, Bangalore",Bangalore,92%,(90 votes),₹ 600 fee
Dr. Kisalay Saurav,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",20 Years Experience Overall  (14 years as specialist),"Hebbal, Bangalore",Bangalore,93%,(429 votes),₹ 1090 fee
Dr. Shishira R J,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",11 Years Experience Overall  (6 years as specialist),"HSR Layout, Bangalore",Bangalore,94%,(363 votes),₹ 2000 fee
Dr. Hema S,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13 Years Experience Overall  (5 years as specialist),"Sadashivanagar, Bangalore",Bangalore,98%,(40 votes),₹ 600 fee
Dr. Vignessh Raj,Dermatologist,"MBBS, DDVL",16 Years Experience Overall  (9 years as specialist),"Whitefield, Bangalore",Bangalore,98%,(921 votes),₹ 700 fee
Dr. Radhika S R,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (4 years as specialist),"Mahalakshmi Layout, Bangalore",Bangalore,100%,(26 votes),₹ 600 fee
Dr. Eswari.L,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",22 Years Experience Overall  (15 years as specialist),"Jayanagar 4 Block, Bangalore",Bangalore,100%,(26 votes),₹ 600 fee
Dr. Rakesh Reddy,Dermatologist,"MBBS, Master of Public Health (MPH), DDVL",24 Years Experience Overall  (8 years as specialist),"Sanjay Nagar, Bangalore",Bangalore,94%,(97 votes),₹ 500 fee
Dr. Kavya K,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11 Years Experience Overall  (7 years as specialist),"Horamavu, Bangalore",Bangalore,99%,(224 votes),₹ 400 fee
