Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Maruthesh Gowda,Gastroenterologist,"MBBS, FRCS - General Surgery, MRCS (UK)",19 Years Experience Overall  (13 years as specialist),"Hegde Nagar, Bangalore",Bangalore,95%,(1187 votes),₹ 600 fee
Dr. Pratibha S,Gastroenterologist,"MBBS, DNB - General Medicine, DM - Gastroenterology",19 Years Experience Overall  (7 years as specialist),"Hulimavu, Bangalore",Bangalore,96%,(98 votes),₹ 700 fee
Dr. Shabir Ahmed,Gastroenterologist,"MBBS, DM - Gastroenterology",30 Years Experience Overall,"Koramangala 5 Block, Bangalore",Bangalore,65%,(26 votes),₹ 600 fee
Dr. Praveen Mathew,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology",21 Years Experience Overall  (13 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,88%,(712 votes),₹ 900 fee
Dr. Vijay Kumar HJ,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology",10 Years Experience Overall  (4 years as specialist),"HSR Layout, Bangalore",Bangalore,100%,(14 votes),₹ 800 fee
Dr. Amarkishen Shetty,Gastroenterologist,"MBBS, DM - Gastroenterology",34 Years Experience Overall  (33 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,89%,(126 votes),₹ 750 fee
Dr. Dinesh Kini,Gastroenterologist,"MD - General Medicine, MBBS, DM - Gastroenterology",32 Years Experience Overall  (22 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,89%,(339 votes),₹ 1000 fee
Dr. Balaji Gurappa,Gastroenterologist,"DM - Gastroenterology, MBBS, MD - General Medicine",18 Years Experience Overall  (8 years as specialist),"HSR Layout, Bangalore",Bangalore,95%,(183 votes),₹ 650 fee
Dr. Amruthesh T.M,Gastroenterologist,"DNB - Gastroenterology, MD - General Medicine, MBBS",21 Years Experience Overall  (10 years as specialist),"Whitefield, Bangalore",Bangalore,83%,(112 votes),₹ 700 fee
Dr. Adarsh C K,Gastroenterologist,"MBBS, MD - General Medicine, DNB - Gastroenterology",20 Years Experience Overall  (12 years as specialist),"Kengeri, Bangalore",Bangalore,98%,(758 votes),₹ 800 fee
Dr. Sreenivasa D,Gastroenterologist,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Gastroenterology, DNB - Gastroenterology",36 Years Experience Overall  (24 years as specialist),"Old Airport Road, Bangalore",Bangalore,90%,(587 votes),₹ 900 fee
Dr. Deepak Ganga P,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology",16 Years Experience Overall  (3 years as specialist),"Hebbal, Bangalore",Bangalore,90%,(587 votes),₹ 1090 fee
Dr. Sagar H C,Gastroenterologist,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",13 Years Experience Overall  (8 years as specialist),"Uttarahalli, Bangalore",Bangalore,90%,(587 votes),₹ 350 fee
