Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Phani Madhuri,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",20 Years Experience Overall  (14 years as specialist),"Sarjapur Road, Bangalore",Bangalore,95%,(975 votes),₹ 700 fee
Dr. Deepak V Rao,Gynecologist/obstetrician,"MD - Obstetrics & Gynaecology, MBBS",36 Years Experience Overall  (31 years as specialist),"Indiranagar, Bangalore",Bangalore,95%,(43 votes),₹ 700 fee
Dr. Deepthi RK Shashidhar,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",16 Years Experience Overall  (10 years as specialist),"Jayanagar 4 Block, Bangalore",Bangalore,98%,(1370 votes),₹ 600 fee
Dr. Kavitha Lakshmi Easwaran,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",26 Years Experience Overall  (20 years as specialist),"Kasturi nagar, Bangalore",Bangalore,95%,(618 votes),₹ 700 fee
Dr. Manjula Deepak,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",20 Years Experience Overall  (16 years as specialist),"HRBR Layout, Bangalore",Bangalore,100%,(1176 votes),₹ 850 fee
Dr. Archana Agarwal,Gynecologist/obstetrician,"MBBS, DGO",30 Years Experience Overall  (23 years as specialist),"Marathahalli, Bangalore",Bangalore,85%,(673 votes),₹ 700 fee
Dr. Ashwini P,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",21 Years Experience Overall  (14 years as specialist),"Indiranagar, Bangalore",Bangalore,91%,(365 votes),₹ 700 fee
Dr. Vimala CH,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",17 Years Experience Overall  (13 years as specialist),"Whitefield, Bangalore",Bangalore,97%,(267 votes),₹ 800 fee
Dr. H S Chandrika,Gynecologist/obstetrician,"MBBS, DGO",41 Years Experience Overall  (37 years as specialist),"JP Nagar 2 Phase, Bangalore",Bangalore,97%,(359 votes),₹ 800 fee
Dr. Suman Singh,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Aesthetic Medicine (FAM)",29 Years Experience Overall  (23 years as specialist),"BTM Layout 2nd Stage, Bangalore",Bangalore,93%,(3323 votes),₹ 700 fee
Dr. Kishore C Kumtakar,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",44 Years Experience Overall  (42 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,93%,(3323 votes),₹ 500 fee
Dr. Asha Puranikmath,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",32 Years Experience Overall  (28 years as specialist),"Indiranagar, Bangalore",Bangalore,91%,(195 votes),₹ 800 fee
Dr. Thejavathy G. V,Gynecologist/obstetrician,"MBBS, DGO, MD - Obstetrics & Gynaecology",33 Years Experience Overall  (28 years as specialist),"Indiranagar, Bangalore",Bangalore,65%,(17 votes),₹ 700 fee
Dr. Chitra Ramamurthy,Gynecologist/obstetrician,"MD - Obstetrics & Gynaecology, MBBS",43 Years Experience Overall  (38 years as specialist),"JP Nagar 6 Phase, Bangalore",Bangalore,94%,(227 votes),₹ 700 fee
Dr. Suvarna Jyothi G,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",14 Years Experience Overall  (13 years as specialist),"Indiranagar, Bangalore",Bangalore,100%,(108 votes),₹ 700 fee
Dr. Vidya Muralidhar,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology, DNB - Obstetrics & Gynecology",14 Years Experience Overall  (9 years as specialist),"Hebbal Kempapura, Bangalore",Bangalore,98%,(236 votes),₹ 500 fee
Dr. K. Sushmita,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",21 Years Experience Overall  (16 years as specialist),"Sahakaranagar, Bangalore",Bangalore,98%,(915 votes),₹ 850 fee
Dr. Pradeepa,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology, MRCOG(UK)",17 Years Experience Overall  (10 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,98%,(46 votes),₹ 650 fee
Dr. Mala Prakash,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",38 Years Experience Overall  (32 years as specialist),"JP Nagar 6 Phase, Bangalore",Bangalore,94%,(548 votes),₹ 600 fee
Dr. Vibha Rathore,Gynecologist/obstetrician,"MBBS, DGO",36 Years Experience Overall  (30 years as specialist),"Indiranagar, Bangalore",Bangalore,92%,(13 votes),₹ 700 fee
Dr. Joshitha Naik,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology, DGO",22 Years Experience Overall  (17 years as specialist),"Jayanagar 5 Block, Bangalore",Bangalore,85%,(20 votes),₹ 700 fee
Dr. Prathiba Govindaiah,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",18 Years Experience Overall  (10 years as specialist),"HSR Layout, Bangalore",Bangalore,95%,(211 votes),₹ 700 fee
Dr. Sasikala A,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, DGO",38 Years Experience Overall,"Vijayanagar, Bangalore",Bangalore,97%,(1633 votes),₹ 400 fee
Dr. Ashwini B Gowdra,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",21 Years Experience Overall  (17 years as specialist),"HSR Layout, Bangalore",Bangalore,95%,(2685 votes),₹ 800 fee
Dr. Sandhya Rani,Gynecologist/obstetrician,"MBBS, DGO",17 Years Experience Overall  (13 years as specialist),"Old Airport Road, Bangalore",Bangalore,98%,(51 votes),₹ 850 fee
Dr. Shafalika.S.B,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",20 Years Experience Overall,"Yeshwanthpur, Bangalore",Bangalore,100%,(481 votes),₹ 850 fee
Dr. Bhargavi Reddy,Gynecologist/obstetrician,"MD - Obstetrics & Gynaecology, MBBS",30 Years Experience Overall  (22 years as specialist),"Indiranagar, Bangalore",Bangalore,83%,(258 votes),₹ 200 fee
Dr. Harini P Shetty,Gynecologist/obstetrician,"MBBS, DGO",33 Years Experience Overall  (30 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,97%,(996 votes),₹ 650 fee
Dr. S.Indukala,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, DGO",23 Years Experience Overall,"Jayanagar 9 Block, Bangalore",Bangalore,97%,(996 votes),₹ 500 fee
Dr. Karamjit Kaur,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",22 Years Experience Overall  (16 years as specialist),"Old Airport Road, Bangalore",Bangalore,83%,(12 votes),₹ 850 fee
Dr. Aruna Sahadev,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology, Post Doctoral Fellowship in Reproductive Medicine",21 Years Experience Overall  (14 years as specialist),"Rajarajeshwarinagar, Bangalore",Bangalore,94%,(173 votes),₹ 600 fee
Dr. Brunda Channappa,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, DGO",33 Years Experience Overall  (29 years as specialist),"Jayanagar, Bangalore",Bangalore,90%,(261 votes),₹ 850 fee
Dr. Vijaya Sherbet,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",32 Years Experience Overall,"Hebbal, Bangalore",Bangalore,94%,(405 votes),₹ 800 fee
Dr. Rituparna Bera,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",13 Years Experience Overall  (6 years as specialist),"Hennur, Bangalore",Bangalore,100%,(664 votes),₹ 500 fee
Dr. Poornima Murthy,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",27 Years Experience Overall  (26 years as specialist),"Jayanagar, Bangalore",Bangalore,95%,(195 votes),₹ 850 fee
Dr. Meenakshi R Kamath,Gynecologist/obstetrician,"MBBS, DGO",33 Years Experience Overall  (28 years as specialist),"Jayanagar, Bangalore",Bangalore,95%,(221 votes),₹ 800 fee
Dr. Uma Maheshwari,Gynecologist/obstetrician,"MBBS, DGO",24 Years Experience Overall  (21 years as specialist),"Jayanagar, Bangalore",Bangalore,95%,(160 votes),₹ 850 fee
Dr. D Vijaya Meenakshi,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",20 Years Experience Overall  (15 years as specialist),"Whitefield, Bangalore",Bangalore,97%,(87 votes),₹ 800 fee
Dr. Vidyamani Boriah,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",53 Years Experience Overall  (36 years as specialist),"VV Puram, Bangalore",Bangalore,93%,(27 votes),₹ 600 fee
Dr. Shilpa Ellur,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",19 Years Experience Overall  (14 years as specialist),"Whitefield, Bangalore",Bangalore,97%,(93 votes),₹ 900 fee
Dr. Sneha Dhatrak Shetty,Gynecologist/obstetrician,"MBBS, DGO",13 Years Experience Overall  (8 years as specialist),"HSR Layout, Bangalore",Bangalore,97%,(70 votes),₹ 750 fee
Dr. Sunitha T,Gynecologist/obstetrician,"MS - Obstetrics & Gynaecology, MBBS",16 Years Experience Overall  (12 years as specialist),"Vidyaranyapura, Bangalore",Bangalore,99%,(166 votes),₹ 400 fee
Dr. Poornima. M,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",18 Years Experience Overall  (12 years as specialist),"Old Airport Road, Bangalore",Bangalore,98%,(42 votes),₹ 850 fee
Dr. Vani R,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",26 Years Experience Overall  (21 years as specialist),"Basavanagudi, Bangalore",Bangalore,96%,(325 votes),₹ 500 fee
Dr. Basavaraj  Devarashetty,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",26 Years Experience Overall  (21 years as specialist),"Marathahalli, Bangalore",Bangalore,98%,(1280 votes),₹ 700 fee
Dr. Mamatha.B.Reddy,Gynecologist/obstetrician,"MBBS, DGO",14 Years Experience Overall  (13 years as specialist),"Hoodi, Bangalore",Bangalore,90%,(156 votes),₹ 500 fee
Dr. Regina,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",24 Years Experience Overall  (16 years as specialist),"Banaswadi, Bangalore",Bangalore,95%,(447 votes),₹ 600 fee
Dr. Gayathri B N,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",18 Years Experience Overall  (11 years as specialist),"Electronics City, Bangalore",Bangalore,97%,(183 votes),₹ 700 fee
Dr. Jyothi Patil,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",18 Years Experience Overall  (13 years as specialist),"Whitefield, Bangalore",Bangalore,98%,(181 votes),₹ 600 fee
Dr. Anu Joseph,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",15 Years Experience Overall  (12 years as specialist),"Electronics City, Bangalore",Bangalore,96%,(246 votes),₹ 650 fee
Dr. Sunita Pawar Shekokar,Gynecologist/obstetrician,"MBBS, DGO, MD - Obstetrics & Gynaecology",25 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,92%,(105 votes),₹ 600 fee
Dr. Kumudini Devi,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",11 Years Experience Overall  (7 years as specialist),"Arekere, Bangalore",Bangalore,98%,(166 votes),₹ 500 fee
Dr. Sneha Rajiv,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",13 Years Experience Overall  (8 years as specialist),"Nagasandra, Bangalore",Bangalore,97%,(319 votes),₹ 550 fee
Dr. Payal Mahapatra,Gynecologist/obstetrician,"MBBS, DGO",17 Years Experience Overall  (12 years as specialist),"Marathahalli, Bangalore",Bangalore,90%,(154 votes),₹ 700 fee
Dr. Sushma,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",13 Years Experience Overall  (9 years as specialist),"Basaveshwaranagar, Bangalore",Bangalore,99%,(79 votes),₹ 500 fee
Dr. Yasmin Imdad,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",21 Years Experience Overall  (17 years as specialist),"Whitefield, Bangalore",Bangalore,100%,(65 votes),₹ 600 fee
Dr. Vijayalakshmi M,Gynecologist/obstetrician,"MBBS, DGO",44 Years Experience Overall  (42 years as specialist),"Indiranagar, Bangalore",Bangalore,95%,(107 votes),₹ 800 fee
Dr. V S Gangarani,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",34 Years Experience Overall  (28 years as specialist),"Indiranagar, Bangalore",Bangalore,67%,(15 votes),₹ 700 fee
Dr. Raman Shobana,Gynecologist/obstetrician,"DGO, DNB - Obstetrics & Gynecology, MBBS",13 Years Experience Overall,"Electronics City, Bangalore",Bangalore,100%,(38 votes),₹ 850 fee
Dr. Swetha Vinjamuri,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",18 Years Experience Overall  (9 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,99%,(152 votes),₹ 650 fee
Dr. Kanti sahu,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",28 Years Experience Overall  (24 years as specialist),"Kundalahalli, Bangalore",Bangalore,86%,(37 votes),₹ 700 fee
Dr. Sunita DSouza Lobo,Gynecologist/obstetrician,"MBBS, DGO",31 Years Experience Overall  (24 years as specialist),"Richmond Town, Bangalore",Bangalore,99%,(87 votes),₹ 700 fee
Dr. Lavanya J,Gynecologist/obstetrician,"MBBS, DGO",20 Years Experience Overall  (15 years as specialist),"Bagalakunte, Bangalore",Bangalore,88%,(86 votes),₹ 300 fee
Dr. Kakoli Guha Sen,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",27 Years Experience Overall  (17 years as specialist),"Sarjapur Road, Bangalore",Bangalore,88%,(86 votes),₹ 700 fee
Dr. Arwa Mohsin E (S Zaveri),Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",23 Years Experience Overall,"Richmond Town, Bangalore",Bangalore,90%,(29 votes),₹ 550 fee
