Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Suman Singh,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Aesthetic Medicine (FAM)",29 Years Experience Overall  (23 years as specialist),"BTM Layout 2nd Stage, Bangalore",Bangalore,93%,(3323 votes),₹ 700 fee
Dr. Uma Maheshwari,Infertility Specialist,"MBBS, DGO",24 Years Experience Overall  (21 years as specialist),"Jayanagar, Bangalore",Bangalore,95%,(160 votes),₹ 850 fee
Dr. Vidyamani Boriah,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",53 Years Experience Overall  (36 years as specialist),"VV Puram, Bangalore",Bangalore,93%,(27 votes),₹ 600 fee
Dr. Basavaraj  Devarashetty,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",26 Years Experience Overall  (21 years as specialist),"Marathahalli, Bangalore",Bangalore,98%,(1280 votes),₹ 700 fee
Dr. Jyothi Patil,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",18 Years Experience Overall  (13 years as specialist),"Whitefield, Bangalore",Bangalore,98%,(181 votes),₹ 600 fee
Dr. Pooja Yuresh Gandhi,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",11 Years Experience Overall  (8 years as specialist),"Banashankari, Bangalore",Bangalore,100%,(34 votes),₹ 500 fee
Dr. Kavitha Lakshmi Easwaran,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",26 Years Experience Overall  (20 years as specialist),"Kasturi nagar, Bangalore",Bangalore,95%,(618 votes),₹ 700 fee
Dr. Archana Agarwal,Infertility Specialist,"MBBS, DGO",30 Years Experience Overall  (23 years as specialist),"Marathahalli, Bangalore",Bangalore,85%,(673 votes),₹ 700 fee
Dr. Mamatha Reddy Y V,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",26 Years Experience Overall  (21 years as specialist),"Koramangala 1 Block, Bangalore",Bangalore,95%,(513 votes),₹ 800 fee
Dr. Chaitra Nayak,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, FNB - Reproductive Medicine",21 Years Experience Overall  (14 years as specialist),"JP Nagar 4 Phase, Bangalore",Bangalore,96%,(82 votes),₹ 600 fee
Dr. Ashwini P,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",21 Years Experience Overall  (14 years as specialist),"Indiranagar, Bangalore",Bangalore,91%,(365 votes),₹ 700 fee
Dr. Vimala CH,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",17 Years Experience Overall  (13 years as specialist),"Whitefield, Bangalore",Bangalore,97%,(267 votes),₹ 800 fee
Dr. T. M Jyothi Lakshmi,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",35 Years Experience Overall  (28 years as specialist),"Malleswaram, Bangalore",Bangalore,95%,(163 votes),₹ 850 fee
Dr. Nandhini Ravindran,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",17 Years Experience Overall  (13 years as specialist),"Ulsoor, Bangalore",Bangalore,97%,(59 votes),₹ 600 fee
Dr. Janani Manoharan,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",16 Years Experience Overall  (11 years as specialist),"Sarjapur Road, Bangalore",Bangalore,93%,(46 votes),₹ 500 fee
Dr. N Sapna Lulla,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",24 Years Experience Overall  (16 years as specialist),"Hebbal, Bangalore",Bangalore,98%,(2299 votes),₹ 800 fee
Dr. Chitra Ramamurthy,Infertility Specialist,"MD - Obstetrics & Gynaecology, MBBS",43 Years Experience Overall  (38 years as specialist),"JP Nagar 6 Phase, Bangalore",Bangalore,94%,(227 votes),₹ 700 fee
Dr. Vidya Muralidhar,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology, DNB - Obstetrics & Gynecology",14 Years Experience Overall  (9 years as specialist),"Hebbal Kempapura, Bangalore",Bangalore,98%,(236 votes),₹ 500 fee
Dr. K. Sushmita,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",21 Years Experience Overall  (16 years as specialist),"Sahakaranagar, Bangalore",Bangalore,98%,(915 votes),₹ 850 fee
Dr. Pradeepa,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology, MRCOG(UK)",17 Years Experience Overall  (10 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,98%,(46 votes),₹ 650 fee
Dr. Mala Prakash,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",38 Years Experience Overall  (32 years as specialist),"JP Nagar 6 Phase, Bangalore",Bangalore,94%,(548 votes),₹ 600 fee
Dr. Prathiba Govindaiah,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",18 Years Experience Overall  (10 years as specialist),"HSR Layout, Bangalore",Bangalore,95%,(211 votes),₹ 700 fee
Dr. Vijaya Manohar,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",42 Years Experience Overall  (37 years as specialist),"Koramangala 6 Block, Bangalore",Bangalore,96%,(589 votes),₹ 600 fee
Dr. Sasikala A,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology, DGO",38 Years Experience Overall,"Vijayanagar, Bangalore",Bangalore,97%,(1633 votes),₹ 400 fee
Dr. Ashwini B Gowdra,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",21 Years Experience Overall  (17 years as specialist),"HSR Layout, Bangalore",Bangalore,95%,(2685 votes),₹ 800 fee
Dr. Harini P Shetty,Infertility Specialist,"MBBS, DGO",33 Years Experience Overall  (30 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,97%,(996 votes),₹ 650 fee
Dr. Sunitha Gali,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",18 Years Experience Overall  (6 years as specialist),"Sahakaranagar, Bangalore",Bangalore,92%,(24 votes),₹ 500 fee
Dr. Karamjit Kaur,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",22 Years Experience Overall  (16 years as specialist),"Old Airport Road, Bangalore",Bangalore,83%,(12 votes),₹ 850 fee
Dr. Aruna Sahadev,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, Post Doctoral Fellowship in Reproductive Medicine",21 Years Experience Overall  (14 years as specialist),"Rajarajeshwarinagar, Bangalore",Bangalore,94%,(173 votes),₹ 600 fee
Dr. Rituparna Bera,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",13 Years Experience Overall  (6 years as specialist),"Hennur, Bangalore",Bangalore,100%,(665 votes),₹ 500 fee
Dr. Nirmala Mohan,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",24 Years Experience Overall  (13 years as specialist),"Hebbal, Bangalore",Bangalore,100%,(665 votes),₹ 1090 fee
Dr. Usha B.R.,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",18 Years Experience Overall  (11 years as specialist),"Jayanagar, Bangalore",Bangalore,93%,(158 votes),₹ 850 fee
Dr. D Vijaya Meenakshi,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",20 Years Experience Overall  (15 years as specialist),"Whitefield, Bangalore",Bangalore,97%,(87 votes),₹ 800 fee
Dr. Kavitha Kovi,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",23 Years Experience Overall  (19 years as specialist),"Whitefield, Bangalore",Bangalore,95%,(582 votes),₹ 600 fee
Dr. Jhansi Lakshmi Peddi,Infertility Specialist,"MS - Obstetrics & Gynaecology, MBBS",12 Years Experience Overall  (9 years as specialist),"Kundalahalli, Bangalore",Bangalore,95%,(20 votes),₹ 650 fee
Dr. Shilpa Ellur,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",19 Years Experience Overall  (14 years as specialist),"Whitefield, Bangalore",Bangalore,97%,(93 votes),₹ 900 fee
Dr. Sandhya Shivakumar,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",21 Years Experience Overall,"Kalyan Nagar, Bangalore",Bangalore,98%,(214 votes),₹ 600 fee
Dr. Sneha Dhatrak Shetty,Infertility Specialist,"MBBS, DGO",13 Years Experience Overall  (8 years as specialist),"HSR Layout, Bangalore",Bangalore,97%,(70 votes),₹ 750 fee
