Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Jagdish Chattnalli,Neurosurgeon,"DNB - Neurosurgery, MBBS",23 Years Experience Overall  (17 years as specialist),"Jayanagar, Bangalore",Bangalore,74%,(19 votes),₹ 800 fee
Dr. N Chandrashekar,Neurosurgeon,"MCh - Neuro Surgery, MBBS",37 Years Experience Overall  (27 years as specialist),"HSR Layout, Bangalore",Bangalore,97%,(236 votes),₹ 750 fee
Dr. Arjun Srivatsa,Neurosurgeon,"MBBS, DNB - Neurosurgery",32 Years Experience Overall  (27 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,98%,(130 votes),₹ 1000 fee
Dr. Sunil V Furtado,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery, DNB - Neurosurgery",23 Years Experience Overall  (17 years as specialist),"Sahakaranagar, Bangalore",Bangalore,99%,(171 votes),₹ 700 fee
Dr. H V Satish Babu,Neurosurgeon,"MCh - Neuro Surgery, MBBS",32 Years Experience Overall  (25 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,99%,(171 votes),₹ 850 fee
Dr. K Kartik Revanappa,Neurosurgeon,"MS - Orthopaedics, MCh - Neuro Surgery, MBBS",23 Years Experience Overall  (19 years as specialist),"JP Nagar 8 Phase, Bangalore",Bangalore,99%,(146 votes),₹ 1000 fee
Dr. Manmeet Singh Chhabra,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",25 Years Experience Overall  (16 years as specialist),"Jayanagar, Bangalore",Bangalore,100%,(70 votes),₹ 800 fee
Dr. Umesh Srikantha,Neurosurgeon,"MBBS, MCh - Neuro Surgery",22 Years Experience Overall  (14 years as specialist),"Hebbal, Bangalore",Bangalore,88%,(40 votes),₹ 1000 fee
Dr. Sridhar R,Neurosurgeon,MS - Neuro Surgery,20 Years Experience Overall  (19 years as specialist),"Kanakpura Road, Bangalore",Bangalore,100%,(20 votes),₹ 800 fee
Dr. Abdul Aziz Riyaz,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",11 Years Experience Overall  (4 years as specialist),"BTM Layout 2nd Stage, Bangalore",Bangalore,87%,(47 votes),₹ 800 fee
Dr. Lakshman I K,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",18 Years Experience Overall  (6 years as specialist),"Kengeri, Bangalore",Bangalore,93%,(14 votes),₹ 700 fee
Dr. Sathwik R Shetty,Neurosurgeon,"MBBS, DNB - Neurosurgery",20 Years Experience Overall  (11 years as specialist),"Old Airport Road, Bangalore",Bangalore,100%,(16 votes),₹ 1100 fee
Dr. Ajay Herur,Neurosurgeon,"MBBS, DNB - Neurosurgery",24 Years Experience Overall  (8 years as specialist),"Jayanagar, Bangalore",Bangalore,100%,(16 votes),₹ 750 fee
Dr. Arvind Bhateja,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",30 Years Experience Overall  (22 years as specialist),"Vasanthnagar, Bangalore",Bangalore,96%,(137 votes),₹ 850 fee
Dr. Praveen Ganigi,Neurosurgeon,"MCh - Neuro Surgery, MBBS",27 Years Experience Overall  (18 years as specialist),"Old Airport Road, Bangalore",Bangalore,92%,(13 votes),₹ 1100 fee
Dr. Paritosh Pandey,Neurosurgeon,"MBBS, MCh - Neuro Surgery",23 Years Experience Overall  (19 years as specialist),"Old Airport Road, Bangalore",Bangalore,86%,(14 votes),₹ 1100 fee
Dr. Naveen M A,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",12 Years Experience Overall  (7 years as specialist),"Kengeri, Bangalore",Bangalore,86%,(14 votes),₹ 700 fee
Dr. Santhosh Kumar S A,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",14 Years Experience Overall  (5 years as specialist),"Kengeri, Bangalore",Bangalore,86%,(14 votes),₹ 700 fee
Dr. Raghuram G,Neurosurgeon,"MBBS, DNB - Neurosurgery",16 Years Experience Overall  (13 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,86%,(14 votes),₹ 950 fee
Dr. Praharaj  S S,Neurosurgeon,"MBBS, MS - General Surgery, DNB - Neurology, MCh - Neuro Surgery",38 Years Experience Overall  (30 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,68%,(22 votes),₹ 900 fee
Dr. Prathap Kumar Pani,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",41 Years Experience Overall  (32 years as specialist),"Rajarajeshwarinagar, Bangalore",Bangalore,65%,(20 votes),₹ 700 fee
Dr. Shiva S Kupanur,Neurosurgeon,"MBBS, DNB - Neurosurgery",27 Years Experience Overall  (12 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,96%,(75 votes),₹ 850 fee
Dr. Harisha P N,Neurosurgeon,"MBBS, MCh - Neuro Surgery",19 Years Experience Overall  (14 years as specialist),"Vasanthnagar, Bangalore",Bangalore,96%,(75 votes),₹ 850 fee
Dr. Deepak A N,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15 Years Experience Overall  (5 years as specialist),"Kundalahalli, Bangalore",Bangalore,96%,(75 votes),₹ 850 fee
Dr. Vinayaka M,Neurosurgeon,"MBBS, DNB - Neurosurgery",16 Years Experience Overall  (4 years as specialist),"Whitefield, Bangalore",Bangalore,96%,(75 votes),₹ 850 fee
Dr. Mahendra Madesh,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",12 Years Experience Overall  (4 years as specialist),"HBR Layout, Bangalore",Bangalore,96%,(75 votes),₹ 700 fee
Dr. Praveen K.S,Neurosurgeon,"MBBS, DNB - General Surgery, MCh - Neuro Surgery, MS - General Surgery",21 Years Experience Overall  (15 years as specialist),"Sampangiramnagar, Bangalore",Bangalore,96%,(75 votes),₹ 800 fee
Dr. Aniruddh T Jagannath,Neurosurgeon,"MCh - Neuro Surgery, MBBS",20 Years Experience Overall  (13 years as specialist),"JP Nagar, Bangalore",Bangalore,100%,(95 votes),₹ 800 fee
Dr. Karthikeyan Y R,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",17 Years Experience Overall  (5 years as specialist),"Seshadripuram, Bangalore",Bangalore,100%,(95 votes),₹ 740 fee
Dr. Hariprakash Chakravarthy,Neurosurgeon,"MBBS, DNB - Neurosurgery",22 Years Experience Overall  (12 years as specialist),"Nagasandra, Bangalore",Bangalore,100%,(95 votes),₹ 750 fee
Dr. Abhinandhan J Gangannavar,Neurosurgeon,"MBBS, DNB - Neurosurgery",10 Years Experience Overall  (8 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,100%,(42 votes),₹ 600 fee
Dr. B. Ravi Mohan Rao,Neurosurgeon,"MCh - Neuro Surgery, MBBS",37 Years Experience Overall  (28 years as specialist),"Seshadripuram, Bangalore",Bangalore,100%,(42 votes),₹ 1000 fee
Dr. Anirudh S,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",13 Years Experience Overall  (8 years as specialist),"Rajarajeshwarinagar, Bangalore",Bangalore,100%,(42 votes),₹ 850 fee
Dr. Yadhu K Lokanath,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",11 Years Experience Overall  (9 years as specialist),"JP Nagar, Bangalore",Bangalore,100%,(42 votes),₹ 650 fee
Dr. Dibanath Chakraborthy,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",25 Years Experience Overall,"Malleswaram, Bangalore",Bangalore,100%,(42 votes),₹ 750 fee
Dr. Veeresha U Mathad,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",18 Years Experience Overall  (9 years as specialist),"Sarjapur Road, Bangalore",Bangalore,100%,(42 votes),₹ 900 fee
Dr. Karthik Malepathi,Neurosurgeon,"MBBS, MCh - Neuro Surgery",14 Years Experience Overall  (5 years as specialist),"Seshadripuram, Bangalore",Bangalore,100%,(42 votes),₹ 740 fee
Dr. Krishna Chaitanya,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",13 Years Experience Overall,"Electronics City, Bangalore",Bangalore,100%,(42 votes),₹ 900 fee
Dr. Manpreet Singh Banga,Neurosurgeon,"MS - General Surgery, MCh - Neuro Surgery, MBBS",9 Years Experience Overall  (6 years as specialist),"Sarjapur Road, Bangalore",Bangalore,100%,(42 votes),₹ 750 fee
Dr. Kiran Khanapure,Neurosurgeon,"MBBS, MCh - Neuro Surgery",24 Years Experience Overall  (21 years as specialist),"Millers Road, Bangalore",Bangalore,100%,(42 votes),₹ 1000 fee
Dr. Sridutt Bhadri,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery, FRCS - Neurosurgery",7 Years Experience Overall  (4 years as specialist),"Electronics City, Bangalore",Bangalore,100%,(42 votes),₹ 900 fee
Dr. Dhananjaya  Bhat,Neurosurgeon,"MBBS, MCh - Neuro Surgery",25 Years Experience Overall  (20 years as specialist),"JP Nagar, Bangalore",Bangalore,100%,(42 votes),₹ 800 fee
Dr. Anmol N,Neurosurgeon,"MS - General Surgery, MBBS, MCh - Neuro Surgery",9 Years Experience Overall  (6 years as specialist),"Jayanagar, Bangalore",Bangalore,100%,(42 votes),₹ 900 fee
Dr. Mohamed Mujahid Usman,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",19 Years Experience Overall  (5 years as specialist),"Vasanthnagar, Bangalore",Bangalore,100%,(42 votes),₹ 850 fee
Dr. Sandesh O,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",10 Years Experience Overall  (2 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,100%,(42 votes),₹ 500 fee
Dr. Aravinth Kumar. A,Neurosurgeon,"MBBS, MCh - Neuro Surgery",13 Years Experience Overall  (4 years as specialist),"Nagasandra, Bangalore",Bangalore,100%,(42 votes),₹ 750 fee
Dr. Manish Ganesh Pai,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",22 Years Experience Overall  (11 years as specialist),"JP Nagar, Bangalore",Bangalore,100%,(42 votes),₹ 800 fee
Dr. Shylesh M P,Neurosurgeon,"MS - General Surgery, MCh - Neuro Surgery, MBBS",9 Years Experience Overall  (1 year as specialist),"Richmond Town, Bangalore",Bangalore,100%,(42 votes),₹ 800 fee
Dr. Veekshith Shetty,Neurosurgeon,"MBBS, DNB - Neurosurgery",7 Years Experience Overall,"Millers Road, Bangalore",Bangalore,100%,(42 votes),₹ 800 fee
Dr. Niranjana Rajagopal,Neurosurgeon,"MBBS, DNB - Neurosurgery",14 Years Experience Overall  (8 years as specialist),"Jayanagar, Bangalore",Bangalore,100%,(42 votes),₹ 900 fee
Dr. Sandeep B V,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",14 Years Experience Overall  (6 years as specialist),"Sarjapur Road, Bangalore",Bangalore,100%,(42 votes),₹ 750 fee
Dr. Jaidev s,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",6 Years Experience Overall  (1 year as specialist),"Jayanagar, Bangalore",Bangalore,100%,(42 votes),₹ 900 fee
Dr. Harsha Hegde,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",6 Years Experience Overall  (3 years as specialist),"Sarjapur Road, Bangalore",Bangalore,100%,(42 votes),₹ 900 fee
Dr. Nandish H S,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",16 Years Experience Overall  (9 years as specialist),"Millers Road, Bangalore",Bangalore,100%,(42 votes),₹ 1000 fee
Dr. Ravi Gopal Varma,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",32 Years Experience Overall  (24 years as specialist),"Hebbal, Bangalore",Bangalore,98%,(45 votes),₹ 1000 fee
Dr. Kishor Rao,Neurosurgeon,"MS - General Surgery, MCh - Neuro Surgery",13 Years Experience Overall  (9 years as specialist),"Banashankari, Bangalore",Bangalore,98%,(45 votes),₹ 700 fee
Dr. Akshay Hari,Neurosurgeon,"DNB - Neurosurgery, MBBS",13 Years Experience Overall  (7 years as specialist),"Hebbal, Bangalore",Bangalore,98%,(59 votes),₹ 1000 fee
Dr. Girish Joshi,Neurosurgeon,"MBBS, MS - General Surgery, DNB - General Surgery, MRCS (UK)",16 Years Experience Overall  (12 years as specialist),"Jayanagar, Bangalore",Bangalore,98%,(59 votes),₹ 750 fee
Dr. Deshpande V Rajakumar,Neurosurgeon,"MBBS, MCh - Neuro Surgery",41 Years Experience Overall  (33 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,96%,(23 votes),₹ 900 fee
Dr. NAGARJUN M N,Neurosurgeon,"MBBS, MCh - Neuro Surgery",14 Years Experience Overall  (5 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,96%,(23 votes),₹ 750 fee
Dr. Prakash Rathod,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",5 Years Experience Overall  (4 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,96%,(23 votes),₹ 600 fee
Dr. Robin Gupta,Neurosurgeon,"MCh - Neuro Surgery, MBBS, MS - General Surgery",8 Years Experience Overall  (4 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,96%,(23 votes),₹ 600 fee
Dr. Sharan Srinivasan,Neurosurgeon,"MBBS, DNB - Neurosurgery",22 Years Experience Overall,"Malleswaram, Bangalore",Bangalore,96%,(23 votes),₹ 810 fee
Dr. Satish Sathyanarayana,Neurosurgeon,"MBBS, MCh - Neuro Surgery",34 Years Experience Overall  (33 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,76%,(25 votes),₹ 900 fee
Dr. Satish Babu HV,Neurosurgeon,"MBBS, MCh - Neuro Surgery",32 Years Experience Overall  (23 years as specialist),"HRBR Layout, Bangalore",Bangalore,76%,(25 votes),₹ 1000 fee
Dr. Sundeep V K,Neurosurgeon,"MCh - Neuro Surgery, MBBS, MS - General Surgery",11 Years Experience Overall  (4 years as specialist),"Ashoknagar, Bangalore",Bangalore,76%,(25 votes),₹ 800 fee
Dr. Sabyasachi Basu,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",17 Years Experience Overall  (9 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,76%,(25 votes),₹ 1300 fee
Dr. Keshav G.C,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",11 Years Experience Overall  (5 years as specialist),"Kammana Halli, Bangalore",Bangalore,76%,(25 votes),₹ 500 fee
Dr. Pratham R,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",10 Years Experience Overall  (4 years as specialist),"Kumaraswamy Layout, Bangalore",Bangalore,76%,(25 votes),₹ 900 fee
Dr. Rahul Jain,Neurosurgeon,"MS - General Surgery, MCh - Neuro Surgery, MBBS",19 Years Experience Overall  (14 years as specialist),"Dwarka Sector 19, Delhi",Delhi,91%,(145 votes),₹ 1000 fee
Dr. Ramandeep S. Dang,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",28 Years Experience Overall  (14 years as specialist),"Greater Kailash Part 1, Delhi",Delhi,92%,(302 votes),₹ 1500 fee
Dr. Shailesh Jain,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",21 Years Experience Overall  (14 years as specialist),"Pitampura, Delhi",Delhi,95%,(149 votes),₹ 1200 fee
Dr. Amit Gupta,Neurosurgeon,"MCh - Neuro Surgery, MS - General Surgery, MBBS",21 Years Experience Overall  (13 years as specialist),"Rohini, Delhi",Delhi,100%,(23 votes),₹ 1000 fee
Dr. Ashish Gupta,Neurosurgeon,"MCh - Neuro Surgery, DNB - Neurosurgery, MBBS",27 Years Experience Overall  (19 years as specialist),"Greater Kailash Part 1, Delhi",Delhi,91%,(11 votes),₹ 1200 fee
Dr. Sunilkumar Baranwal,Neurosurgeon,"MCh - Neuro Surgery, MS - General Surgery, MBBS",18 Years Experience Overall  (11 years as specialist),"Pitampura, Delhi",Delhi,75%,(32 votes),₹ 1100 fee
Dr. Amitabh Gupta,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",21 Years Experience Overall  (15 years as specialist),"Vasant Kunj, Delhi",Delhi,89%,(27 votes),₹ 1400 fee
Dr. Rakesh Kumar Dua,Neurosurgeon,"MBBS, MCh - Neuro Surgery",45 Years Experience Overall  (42 years as specialist),"Shalimar Bagh, Delhi",Delhi,77%,(13 votes),₹ 1500 fee
Dr. Sonal Gupta,Neurosurgeon,"MBBS, MCh - Neuro Surgery",31 Years Experience Overall  (25 years as specialist),"Shalimar Bagh, Delhi",Delhi,91%,(11 votes),₹ 1500 fee
Dr. Sudheer Kumar Tyagi,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",34 Years Experience Overall  (25 years as specialist),"Sarita Vihar, Delhi",Delhi,91%,(11 votes),₹ 2500 fee
Dr. S K Sogani,Neurosurgeon,"MBBS, MCh - Neuro Surgery",46 Years Experience Overall  (39 years as specialist),"Sarita Vihar, Delhi",Delhi,91%,(11 votes),₹ 2000 fee
Dr. Manish Garg,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15 Years Experience Overall  (4 years as specialist),"IP Extension, Delhi",Delhi,91%,(11 votes),₹ 1000 fee
Dr. Rajendra Prasad,Neurosurgeon,"MBBS, FRCS - Neurosurgery",37 Years Experience Overall,"Sarita Vihar, Delhi",Delhi,91%,(11 votes),₹ 2000 fee
Dr. Aditya Singh Bhati,Neurosurgeon,"MBBS, DNB - Neurosurgery",19 Years Experience Overall  (8 years as specialist),"Vasant Kunj, Delhi",Delhi,91%,(11 votes),₹ 1000 fee
Dr. Chander Mohan Malhotra,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",32 Years Experience Overall,"Sarita Vihar, Delhi",Delhi,91%,(11 votes),₹ 1500 fee
Dr. Ravi Bhatia,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",61 Years Experience Overall  (51 years as specialist),"Sarita Vihar, Delhi",Delhi,91%,(11 votes),₹ 2000 fee
Dr. Amitabh Goel,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",33 Years Experience Overall  (27 years as specialist),"Patparganj, Delhi",Delhi,98%,(50 votes),₹ 1000 fee
Dr. Sunit Mediratta,Neurosurgeon,"MBBS, MS - General Surgery, DNB - Neurosurgery, MCh - Neuro Surgery",27 Years Experience Overall  (18 years as specialist),"Sarita Vihar, Delhi",Delhi,98%,(50 votes),₹ 1500 fee
Dr. Prakash Singh,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",46 Years Experience Overall  (33 years as specialist),"Saket, Delhi",Delhi,98%,(50 votes),₹ 1200 fee
Dr. V. K. Jain,Neurosurgeon,"MBBS, MCh - Neuro Surgery",46 Years Experience Overall  (42 years as specialist),"Saket, Delhi",Delhi,83%,(30 votes),₹ 1500 fee
Dr. Rohit Bansil,Neurosurgeon,"MBBS, DNB - Neurosurgery",15 Years Experience Overall  (7 years as specialist),"Pusa Road, Delhi",Delhi,83%,(30 votes),₹ 1500 fee
Dr. Anurag Saxena,Neurosurgeon,"MBBS, MCh - Neuro Surgery, FRCS - Neurosurgery, MS - General Surgery",19 Years Experience Overall  (12 years as specialist),"Dwarka Sector 6, Delhi",Delhi,83%,(30 votes),₹ 1100 fee
Dr. Rahul Gupta,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",27 Years Experience Overall  (16 years as specialist),"Okhla, Delhi",Delhi,75%,(16 votes),₹ 1500 fee
Dr. P K Sachdeva,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",28 Years Experience Overall  (23 years as specialist),"Dwarka Sector 12, Delhi",Delhi,75%,(16 votes),₹ 1300 fee
Dr. Arun Saroha,Neurosurgeon,"MCh - Neuro Surgery, MBBS",28 Years Experience Overall  (20 years as specialist),"Saket, Delhi",Delhi,75%,(16 votes),₹ 1200 fee
Dr. Kapil Jain,Neurosurgeon,"MBBS, MCh - Neuro Surgery",21 Years Experience Overall  (13 years as specialist),"Saket, Delhi",Delhi,75%,(16 votes),₹ 1000 fee
Dr. Sharat Garg,Neurosurgeon,"MBBS, DNB - Neurosurgery",14 Years Experience Overall  (7 years as specialist),"Saket, Delhi",Delhi,75%,(16 votes),₹ 800 fee
Dr. Zahid Khan,Neurosurgeon,"MBBS, DNB - Neurosurgery",29 Years Experience Overall  (14 years as specialist),"Saket, Delhi",Delhi,75%,(16 votes),₹ 1000 fee
Dr. Bipin S. Walia,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,"Saket, Delhi",Delhi,75%,(16 votes),₹ 2000 fee
