Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. M B Trishala,Ophthalmologist,"MBBS, MS - Ophthalmology",33 Years Experience Overall  (25 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,100%,(21 votes),₹ 650 fee
Dr. Shalini Shetty,Ophthalmologist,"MBBS, MS - Ophthalmology",30 Years Experience Overall  (22 years as specialist),"Jayanagar, Bangalore",Bangalore,92%,(91 votes),₹ 630 fee
Dr. Sanghamitra Burman,Ophthalmologist,"MBBS, MD - Ophthalmology, DNB - Ophthalmology",24 Years Experience Overall  (21 years as specialist),"Indiranagar, Bangalore",Bangalore,99%,(1436 votes),₹ 750 fee
Dr. Rajesh Parekh,Ophthalmologist,"MBBS, MS - Ophthalmology",27 Years Experience Overall  (23 years as specialist),"Millers Road, Bangalore",Bangalore,100%,(13 votes),₹ 1000 fee
Dr. Vinay Patil,Ophthalmologist,"MBBS, MS - Ophthalmology",21 Years Experience Overall  (16 years as specialist),"HSR Layout, Bangalore",Bangalore,89%,(623 votes),₹ 500 fee
Dr. Rahul Jain,Ophthalmologist,"MBBS, DOMS",17 Years Experience Overall  (10 years as specialist),"BTM Layout, Bangalore",Bangalore,99%,(2704 votes),₹ 800 fee
Dr. Alok B S,Ophthalmologist,"MBBS, MS - Ophthalmology",12 Years Experience Overall  (10 years as specialist),"Yelahanka, Bangalore",Bangalore,97%,(376 votes),₹ 400 fee
Dr. Devaraj M,Ophthalmologist,"MBBS, DO",21 Years Experience Overall  (20 years as specialist),"Rajajinagar, Bangalore",Bangalore,100%,(11 votes),₹ 400 fee
Dr. Sheetal Ballal,Ophthalmologist,"MBBS, DNB - Ophthalmology",22 Years Experience Overall  (19 years as specialist),"Old Airport Road, Bangalore",Bangalore,100%,(11 votes),₹ 900 fee
Dr. Swarna T P,Ophthalmologist,"DO, MBBS",11 Years Experience Overall  (7 years as specialist),"Padmanabhanagar, Bangalore",Bangalore,100%,(33 votes),₹ 500 fee
Dr. Prashant Singh,Ophthalmologist,"MS - Ophthalmology, MBBS",24 Years Experience Overall,"Kammana Halli, Bangalore",Bangalore,100%,(138 votes),₹ 200 fee
Dr. Raghuraj Hegde,Ophthalmologist,"MBBS, MS - Ophthalmology",15 Years Experience Overall  (9 years as specialist),"Old Airport Road, Bangalore",Bangalore,100%,(138 votes),₹ 900 fee
Dr. Leslie Ravi Kumar,Ophthalmologist,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",27 Years Experience Overall  (19 years as specialist),"Millers Road, Bangalore",Bangalore,99%,(83 votes),₹ 1000 fee
Dr. Mridula Pentapati,Ophthalmologist,"MBBS, MS - Ophthalmology",21 Years Experience Overall  (15 years as specialist),"Hebbal, Bangalore",Bangalore,99%,(83 votes),₹ 800 fee
Dr. Swati Prasad,Ophthalmologist,"DO, MBBS",21 Years Experience Overall  (17 years as specialist),"Jayanagar, Bangalore",Bangalore,100%,(17 votes),₹ 600 fee
Dr. Dipali Ghanshyam Prabhu,Ophthalmologist,"MBBS, MS - Ophthalmology",20 Years Experience Overall  (19 years as specialist),"Whitefield, Bangalore",Bangalore,100%,(17 votes),₹ 800 fee
Dr. Lavanya Marineni,Ophthalmologist,MS - Ophthalmology,14 Years Experience Overall  (11 years as specialist),"Yelahanka New Town, Bangalore",Bangalore,100%,(17 votes),₹ 500 fee
Dr. Bhargavi Pawar,Ophthalmologist,"MBBS, MS - Ophthalmology",15 Years Experience Overall  (14 years as specialist),"Kundalahalli, Bangalore",Bangalore,100%,(15 votes),₹ 650 fee
Dr. Naveen S K,Ophthalmologist,"MBBS, DOMS",19 Years Experience Overall  (15 years as specialist),"Whitefield, Bangalore",Bangalore,100%,(15 votes),₹ 800 fee
Dr. Lakshmi Krupa,Ophthalmologist,"MBBS, DNB - Ophthalmology",18 Years Experience Overall  (12 years as specialist),"Old Airport Road, Bangalore",Bangalore,100%,(15 votes),₹ 900 fee
Dr. Mukta Shrivastava,Ophthalmologist,"MBBS, DOMS",22 Years Experience Overall  (17 years as specialist),"Millers Road, Bangalore",Bangalore,100%,(31 votes),₹ 1000 fee
Dr. Poonam Yadav,Ophthalmologist,"MBBS, DNB - Ophthalmology",28 Years Experience Overall  (21 years as specialist),"Sarjapur Road, Bangalore",Bangalore,100%,(31 votes),₹ 700 fee
Dr. Mahabaleswar,Ophthalmologist,"MD - Ophthalmology, MBBS",45 Years Experience Overall  (44 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,100%,(31 votes),₹ 700 fee
Dr. Pinto Kiran,Ophthalmologist,"MBBS, MD - Ophthalmology",12 Years Experience Overall  (10 years as specialist),"Vijayanagar, Bangalore",Bangalore,76%,(17 votes),₹ 500 fee
Dr. Neelima Aalap Shah,Ophthalmologist,"MBBS, DO, Master of Public Health (MPH), MS - Ophthalmology",16 Years Experience Overall,"Padmanabhanagar, Bangalore",Bangalore,76%,(17 votes),₹ 300 fee
Dr. Mohan Kumar H,Ophthalmologist,"MBBS, MS - Ophthalmology",28 Years Experience Overall  (16 years as specialist),"Sampangiramnagar, Bangalore",Bangalore,76%,(17 votes),₹ 800 fee
Dr. Ram.S. Mirlay,Ophthalmologist,"MBBS, MS - Ophthalmology",33 Years Experience Overall,"Shivaji Nagar, Bangalore",Bangalore,98%,(40 votes),₹ 700 fee
Dr. Rekha B Patil,Ophthalmologist,"MBBS, MS - Ophthalmology",18 Years Experience Overall  (11 years as specialist),"Cunningham Road, Bangalore",Bangalore,98%,(40 votes),₹ 700 fee
Dr. Sreepathi,Ophthalmologist,"MBBS, MS - Ophthalmology",13 Years Experience Overall,"Yelahanka New Town, Bangalore",Bangalore,98%,(40 votes),₹ 500 fee
Dr. Ramya. K,Ophthalmologist,"MBBS, DO",10 Years Experience Overall  (7 years as specialist),"Rajajinagar, Bangalore",Bangalore,98%,(40 votes),₹ 400 fee
Dr. Preeti G Kale,Ophthalmologist,"MBBS, DNB - Ophthalmology",12 Years Experience Overall  (11 years as specialist),"Sampangiramnagar, Bangalore",Bangalore,98%,(40 votes),₹ 800 fee
Dr. Madhura M Adiga,Ophthalmologist,"MBBS, DNB - Ophthalmology",16 Years Experience Overall  (9 years as specialist),"Yelahanka New Town, Bangalore",Bangalore,98%,(40 votes),₹ 500 fee
Dr. Deepika Dorothy John,Ophthalmologist,"MBBS, MS - Ophthalmology",11 Years Experience Overall,"Kammana Halli, Bangalore",Bangalore,98%,(40 votes),₹ 200 fee
Dr. Hemanth Kumar K,Ophthalmologist,"MBBS, MS - Ophthalmology",11 Years Experience Overall  (6 years as specialist),"Indiranagar, Bangalore",Bangalore,98%,(40 votes),₹ 600 fee
Dr. Ravi D,Ophthalmologist,"MBBS, DO, MS - Ophthalmology",28 Years Experience Overall  (20 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,98%,(40 votes),₹ 500 fee
Dr. Rakesh Seenappa,Ophthalmologist,"MBBS, MS - Ophthalmology",11 Years Experience Overall  (9 years as specialist),"Rajajinagar, Bangalore",Bangalore,98%,(40 votes),₹ 400 fee
