Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Sushma V,Pediatrician,"DNB - Paediatrics, MBBS",20 Years Experience Overall  (17 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,100%,(115 votes),₹ 650 fee
Dr. Tejaswini Nayak,Pediatrician,"MBBS, Diploma in Paediatrics",28 Years Experience Overall  (21 years as specialist),"Bellandur, Bangalore",Bangalore,96%,(545 votes),₹ 800 fee
Dr. Kushal Kumar,Pediatrician,"MBBS, MD - Pediatrics",19 Years Experience Overall  (16 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,96%,(545 votes),₹ 850 fee
Dr. Lokanadha Reddy,Pediatrician,"MBBS, MD - Pediatrics",13 Years Experience Overall  (7 years as specialist),"Thanisandra, Bangalore",Bangalore,98%,(247 votes),₹ 400 fee
Dr. Avinash Shanbhogh,Pediatrician,"MBBS, MD - Pediatrics",17 Years Experience Overall  (13 years as specialist),"Sarjapur Road, Bangalore",Bangalore,98%,(96 votes),₹ 750 fee
Dr. Mallesh U,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",17 Years Experience Overall  (11 years as specialist),"Horamavu, Bangalore",Bangalore,94%,(48 votes),₹ 300 fee
Dr. Santosh N,Pediatrician,"MBBS, MD - Pediatrics",29 Years Experience Overall  (25 years as specialist),"Jayanagar 5 Block, Bangalore",Bangalore,99%,(754 votes),₹ 700 fee
Dr. Sheetal S,Pediatrician,"MBBS, Diploma in Child Health (DCH)",22 Years Experience Overall  (20 years as specialist),"Akshaya nagar, Bangalore",Bangalore,90%,(39 votes),₹ 500 fee
Dr. Shashidhar A,Pediatrician,"MBBS, MD - Pediatrics, DM - Neonatology",15 Years Experience Overall  (11 years as specialist),"Koramangala 6 Block, Bangalore",Bangalore,94%,(18 votes),₹ 600 fee
Dr. Sowmya Prashanth,Pediatrician,"MBBS, DNB - Paediatrics",24 Years Experience Overall  (18 years as specialist),"Jayanagar 5 Block, Bangalore",Bangalore,97%,(65 votes),₹ 700 fee
Dr. B. B. Aggarwal,Pediatrician,"MBBS, DNB - Paediatrics, Diploma in Child Health (DCH)",34 Years Experience Overall  (33 years as specialist),"Pusa Road, Delhi",Delhi,97%,(65 votes),₹ 1300 fee
Dr. Anil Sabharwal,Pediatrician,"MBBS, MD - Pediatrics",47 Years Experience Overall  (40 years as specialist),"Ram Vihar, Delhi",Delhi,100%,(17 votes),₹ 1000 fee
Dr. Tina Goel,Pediatrician,"MBBS, DNB - Paediatrics",22 Years Experience Overall  (14 years as specialist),"Dwarka, Delhi",Delhi,97%,(178 votes),₹ 700 fee
Dr. Ajay K Tiwari,Pediatrician,"MBBS, MD - Pediatrics",36 Years Experience Overall  (31 years as specialist),"Vikas Puri, Delhi",Delhi,100%,(61 votes),₹ 700 fee
Dr. V. K. Gupta,Pediatrician,"MD - Pediatrics, Diploma in Child Health (DCH), MBBS",49 Years Experience Overall  (47 years as specialist),"Dwarka Sector 12, Delhi",Delhi,92%,(50 votes),₹ 900 fee
Dr. Radhika Sachdev,Pediatrician,"MBBS, Diploma in Child Health (DCH)",25 Years Experience Overall  (20 years as specialist),"Dwarka, Delhi",Delhi,98%,(321 votes),₹ 600 fee
Dr. Sunil Sareen,Pediatrician,"MBBS, DNB - Paediatrics",27 Years Experience Overall  (20 years as specialist),"Karol Bagh, Delhi",Delhi,98%,(321 votes),₹ 750 fee
Dr. Amit Modi,Pediatrician,"MD - Pediatrics, MBBS",14 Years Experience Overall  (10 years as specialist),"Vasundhra Enclave, Delhi",Delhi,97%,(103 votes),₹ 700 fee
Dr. Anjana Gulani,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",28 Years Experience Overall  (23 years as specialist),"Vasant Kunj, Delhi",Delhi,96%,(46 votes),₹ 700 fee
Dr. H C Bhatt,Pediatrician,"MBBS, MD - Pediatrics",27 Years Experience Overall  (22 years as specialist),"IP Extension, Delhi",Delhi,98%,(480 votes),₹ 800 fee
Dr. Vishal Vaidya,Pediatrician,"MBBS, Diploma in Child Health (DCH)",23 Years Experience Overall  (18 years as specialist),"Dwarka, Delhi",Delhi,98%,(116 votes),₹ 800 fee
Dr. Sarita Sharma,Pediatrician,"MBBS, MD - Pediatrics",21 Years Experience Overall  (15 years as specialist),"Sarvodaya Enclave, Delhi",Delhi,97%,(36 votes),₹ 800 fee
Dr. S. Ghatak,Pediatrician,"MBBS, MD - Pediatrics",31 Years Experience Overall,"Dwarka, Delhi",Delhi,97%,(202 votes),₹ 800 fee
Dr. Sandeep Taneja,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",26 Years Experience Overall  (22 years as specialist),"Janakpuri, Delhi",Delhi,97%,(30 votes),₹ 800 fee
Dr. Manish Chopra,Pediatrician,"MBBS, MD - Pediatrics",23 Years Experience Overall  (19 years as specialist),"Janakpuri, Delhi",Delhi,98%,(88 votes),₹ 800 fee
Dr. Anupama Gupta,Pediatrician,"MBBS, MD - Pediatrics",34 Years Experience Overall  (28 years as specialist),"South Extension 2, Delhi",Delhi,90%,(63 votes),₹ 1500 fee
Dr. Deepak Sikriwal,Pediatrician,"MBBS, MD - Pediatrics",23 Years Experience Overall  (18 years as specialist),"Greater Kailash Part 2, Delhi",Delhi,100%,(41 votes),₹ 1100 fee
Dr. Deepika Gulati,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",21 Years Experience Overall  (18 years as specialist),"Janakpuri, Delhi",Delhi,95%,(55 votes),₹ 750 fee
Dr. Prasanna S Bhat,Pediatrician,"MBBS, MD - Pediatrics, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",35 Years Experience Overall  (32 years as specialist),"Patparganj, Delhi",Delhi,100%,(20 votes),₹ 800 fee
Dr. Atul Chopra,Pediatrician,"MBBS, MD - Pediatrics",26 Years Experience Overall  (21 years as specialist),"Greater Kailash Part 2, Delhi",Delhi,100%,(249 votes),₹ 1400 fee
Dr. Ankit Parakh,Pediatrician,"MBBS, MD - Pediatrics, DNB - Paediatrics",21 Years Experience Overall  (15 years as specialist),"Pusa Road, Delhi",Delhi,96%,(23 votes),₹ 1000 fee
Dr. Prem Narayan Dubey,Pediatrician,"MBBS, MD - Pediatrics",57 Years Experience Overall  (45 years as specialist),"Sarita Vihar, Delhi",Delhi,96%,(23 votes),₹ 1500 fee
Dr. Kalyanashish Das,Pediatrician,"MBBS, Diploma in Child Health (DCH)",24 Years Experience Overall  (19 years as specialist),"CR Park, Delhi",Delhi,98%,(51 votes),₹ 600 fee
Dr. Prita Trehan,Pediatrician,"MBBS, MD - Pediatrics",52 Years Experience Overall  (46 years as specialist),"Sarita Vihar, Delhi",Delhi,98%,(51 votes),₹ 2000 fee
Dr. Vineeta Rajput,Pediatrician,"MBBS, MD - Pediatrics",23 Years Experience Overall  (18 years as specialist),"Janakpuri, Delhi",Delhi,83%,(12 votes),₹ 700 fee
Dr. R K Alwadhi,Pediatrician,"MD - Pediatrics, DNB - Paediatrics, MBBS",27 Years Experience Overall  (22 years as specialist),"Pusa Road, Delhi",Delhi,83%,(12 votes),₹ 1100 fee
Dr. Himanshu Batra,Pediatrician,"MBBS, DNB - Paediatrics",12 Years Experience Overall  (9 years as specialist),"Dwarka Sector 6, Delhi",Delhi,83%,(12 votes),₹ 900 fee
Dr. Anamika Dubey,Pediatrician,"MBBS, MD - Pediatrics",27 Years Experience Overall  (25 years as specialist),"Malviya Nagar, Delhi",Delhi,83%,(12 votes),₹ 1200 fee
Dr. Vikram Kumar Singh,Pediatrician,"MBBS, MD - Pediatrics",24 Years Experience Overall  (15 years as specialist),"CR Park, Delhi",Delhi,83%,(12 votes),₹ 1000 fee
Dr. Kumar Ankur,Pediatrician,"MBBS, MD - Pediatrics, DNB - Neonatology",21 Years Experience Overall  (15 years as specialist),"Pusa Road, Delhi",Delhi,95%,(19 votes),₹ 1100 fee
Dr. Maitreye Datta,Pediatrician,"MBBS, MD - Pediatrics",11 Years Experience Overall  (7 years as specialist),"Dwarka Sector 6, Delhi",Delhi,95%,(19 votes),₹ 700 fee
Dr. Anupam Sibal,Pediatrician,"MBBS, MD - Pediatrics, FRCP (Glasgow), FRCPCH",27 Years Experience Overall  (25 years as specialist),"Sarita Vihar, Delhi",Delhi,93%,(14 votes),₹ 2000 fee
Dr. Swati Bhardwaj,Pediatrician,"MBBS, MD - Pediatrics",14 Years Experience Overall  (12 years as specialist),"Pusa Road, Delhi",Delhi,93%,(14 votes),₹ 1100 fee
Dr. Pawan Kumar,Pediatrician,"MBBS, MD - Pediatrics",22 Years Experience Overall  (16 years as specialist),"Malviya Nagar, Delhi",Delhi,99%,(826 votes),₹ 1200 fee
Dr. Sabina Vij,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Pediatrics",22 Years Experience Overall  (18 years as specialist),"Greater Kailash Part 1, Delhi",Delhi,100%,(25 votes),₹ 1000 fee
Dr. Jasjit Singh Bhasin,Pediatrician,"MBBS, MD - Pediatrics",39 Years Experience Overall  (37 years as specialist),"Pusa Road, Delhi",Delhi,83%,(12 votes),₹ 1400 fee
Dr. Manisha Chakrabarti,Pediatrician,"MBBS, MD - Pediatrics",29 Years Experience Overall  (21 years as specialist),"Sarita Vihar, Delhi",Delhi,83%,(12 votes),₹ 1500 fee
Dr. Sricha Sharma,Pediatrician,"MBBS, Diploma in Child Health (DCH)",22 Years Experience Overall  (17 years as specialist),"Dwarka Sector 11, Delhi",Delhi,97%,(985 votes),₹ 600 fee
Dr. Mandeep Kaur Walia,Pediatrician,"MBBS, MD - Pediatrics",27 Years Experience Overall  (21 years as specialist),"Vasant Kunj, Delhi",Delhi,86%,(21 votes),₹ 700 fee
Dr. Shikha Mahajan,Pediatrician,"MBBS, DNB - Paediatrics",33 Years Experience Overall  (26 years as specialist),"Pusa Road, Delhi",Delhi,86%,(21 votes),₹ 1100 fee
Dr. Saroja Balan,Pediatrician," FRCP, MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh), MRCP (UK)",38 Years Experience Overall  (22 years as specialist),"Sarita Vihar, Delhi",Delhi,86%,(21 votes),₹ 1500 fee
Dr. Monika,Pediatrician,"MBBS, DNB - Paediatrics",14 Years Experience Overall  (8 years as specialist),"Rohini Sector 24, Delhi",Delhi,100%,(30 votes),₹ 500 fee
Dr. Parvinder Singh Narang,Pediatrician,"MBBS, Diploma in Child Health (DCH), MRCP (UK)",44 Years Experience Overall  (41 years as specialist),"Shalimar Bagh, Delhi",Delhi,100%,(30 votes),₹ 1200 fee
Dr. Kavita Singh,Pediatrician,"MBBS, DNB - Pediatrics",20 Years Experience Overall  (8 years as specialist),"Janakpuri, Delhi",Delhi,100%,(30 votes),₹ 700 fee
Dr. Arvind Bountra,Pediatrician,"MBBS, MD - Pediatrics",39 Years Experience Overall  (34 years as specialist),"Saket, Delhi",Delhi,96%,(277 votes),₹ 1200 fee
Dr. Vineet Bhushan Gupta,Pediatrician,"MBBS, MD - Pediatrics",37 Years Experience Overall  (32 years as specialist),"Sarita Vihar, Delhi",Delhi,96%,(277 votes),₹ 2000 fee
Dr. Rachna Sharma,Pediatrician,"MBBS, MD - Pediatrics",20 Years Experience Overall  (18 years as specialist),"Pusa Road, Delhi",Delhi,96%,(277 votes),₹ 1000 fee
Dr. Anjali Saxena,Pediatrician,"MBBS, MD - Pediatrics",33 Years Experience Overall  (23 years as specialist),"Malviya Nagar, Delhi",Delhi,96%,(277 votes),₹ 1200 fee
Dr. Naresh Lal,Pediatrician,"MBBS, MD - Pediatrics, FNB - Pediatric Intensive Care",12 Years Experience Overall  (10 years as specialist),"Pusa Road, Delhi",Delhi,96%,(277 votes),₹ 800 fee
Dr. Amit K Tyagi,Pediatrician,"MD - Pediatrics, MBBS",18 Years Experience Overall  (17 years as specialist),"Pusa Road, Delhi",Delhi,96%,(277 votes),₹ 1100 fee
Dr. Richa Arora Agarwal,Pediatrician,"MBBS, MD - Pediatrics",18 Years Experience Overall  (15 years as specialist),"Rohini, Delhi",Delhi,100%,(61 votes),₹ 700 fee
Dr. Vidya Gupta,Pediatrician,"MBBS,  FRCP, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",39 Years Experience Overall  (23 years as specialist),"Sarita Vihar, Delhi",Delhi,100%,(61 votes),₹ 1500 fee
Dr. Neeraj Adlakha,Pediatrician,"MBBS, MD - Pediatrics",20 Years Experience Overall,"Shalimar Bagh, Delhi",Delhi,89%,(63 votes),₹ 700 fee
