Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. P Senthil   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Sports Physiotherapy, Diploma in Acupuncture",24 Years Experience Overall  (20 years as specialist),"JP Nagar 7 Phase, Bangalore",Bangalore,96%,(97 votes),₹ 450 fee
Dr. Archita Tiwari   (Physiotherapist),Physiotherapist,BPTh/BPT,6 Years Experience Overall,"Koramangala 6 Block, Bangalore",Bangalore,99%,(296 votes),₹ 500 fee
Dr. Amit K Shrivastav   (Physiotherapist),Physiotherapist,"MPTh/MPT - Musculoskeletal Physiotherapy, BPTh/BPT",17 Years Experience Overall  (16 years as specialist),"BTM Layout 2nd Stage, Bangalore",Bangalore,96%,(822 votes),₹ 750 fee
Dr. Suresh Babu   (Physiotherapist),Physiotherapist,BPTh/BPT,22 Years Experience Overall,"Marathahalli, Bangalore",Bangalore,85%,(73 votes),₹ 400 fee
Dr. Subodh  Kumar Mahato   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",10 Years Experience Overall,"Dasarahalli, Bangalore",Bangalore,100%,(43 votes),₹ 500 fee
Dr. Jyoti Raghavendra   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",17 Years Experience Overall,"Marathahalli, Bangalore",Bangalore,94%,(744 votes),₹ 400 fee
Dr. Anant Kumar Bairagi   (Physiotherapist),Physiotherapist,"MPTh/MPT - Paediatric Physiotherapy, BPTh/BPT",13 Years Experience Overall  (8 years as specialist),"Nagarbhavi, Bangalore",Bangalore,100%,(11 votes),₹ 400 fee
Dr. Mahesh G   (Physiotherapist),Physiotherapist,BPTh/BPT,16 Years Experience Overall,"Jayanagar, Bangalore",Bangalore,98%,(1266 votes),₹ 500 fee
Dr. Nandan Kumar   (Physiotherapist),Physiotherapist,BPTh/BPT,23 Years Experience Overall,"JP Nagar 2 Phase, Bangalore",Bangalore,99%,(854 votes),₹ 500 fee
Dr. Pooja Pandey Tripathi   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",19 Years Experience Overall  (18 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,98%,(143 votes),₹ 400 fee
Dr. Palanivel Mayavan   (Physiotherapist),Physiotherapist,"MPTh/MPT - Sports Physiotherapy, BPTh/BPT",24 Years Experience Overall  (7 years as specialist),"Ulsoor, Bangalore",Bangalore,97%,(78 votes),₹ 600 fee
Dr. Shilpi Sarthi   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Paediatric Physiotherapy",16 Years Experience Overall  (8 years as specialist),"Hennur, Bangalore",Bangalore,93%,(42 votes),₹ 550 fee
Dr. P.V Rajan   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",14 Years Experience Overall,"Frazer Town, Bangalore",Bangalore,98%,(172 votes),₹ 400 fee
Dr. Kumar Manvendra   (Physiotherapist),Physiotherapist,BPTh/BPT,21 Years Experience Overall,"L B Sashtrinagar, Bangalore",Bangalore,98%,(172 votes),₹ 400 fee
Dr. Richa Singh,Physiotherapist,BPTh/BPT,15 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,93%,(242 votes),₹ 700 fee
Dr. S Gomathi   (Physiotherapist),Physiotherapist,BPTh/BPT,25 Years Experience Overall,"Bannerghatta Road, Bangalore",Bangalore,98%,(643 votes),₹ 400 fee
Dr. Shruti Ganatra   (Physiotherapist),Physiotherapist,BPTh/BPT,17 Years Experience Overall,"CV Raman Nagar, Bangalore",Bangalore,100%,(166 votes),₹ 400 fee
Dr. Sheema Shabir   (Physiotherapist),Physiotherapist,BPTh/BPT,17 Years Experience Overall,"Richmond Town, Bangalore",Bangalore,100%,(14 votes),₹ 500 fee
Dr. Shruti Jain   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",15 Years Experience Overall  (12 years as specialist),"Whitefield, Bangalore",Bangalore,97%,(63 votes),₹ 500 fee
Dr. Nivrith Chambra   (Physiotherapist),Physiotherapist,BPTh/BPT,10 Years Experience Overall  (9 years as specialist),"CV Raman Nagar, Bangalore",Bangalore,100%,(169 votes),₹ 400 fee
Dr. Ibhnu Hussain Gaffar   (Physiotherapist),Physiotherapist,BPTh/BPT,14 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,98%,(50 votes),₹ 500 fee
Dr. Swathi   (Physiotherapist),Physiotherapist,"MPTh/MPT - Orthopedic Physiotherapy, BPTh/BPT",11 Years Experience Overall  (9 years as specialist),"Malleswaram, Bangalore",Bangalore,100%,(24 votes),₹ 700 fee
Dr. Bhagya Sri   (Physiotherapist),Physiotherapist,BPTh/BPT,5 Years Experience Overall,"Whitefield, Bangalore",Bangalore,100%,(24 votes),₹ 300 fee
Dr. Gaurav Sheel   (Physiotherapist),Physiotherapist,Masters of Physiotheraphy,13 Years Experience Overall,"Kundalahalli, Bangalore",Bangalore,94%,(17 votes),₹ 550 fee
Dr. Vanitha Pudukapu   (Physiotherapist),Physiotherapist,BPTh/BPT,14 Years Experience Overall,"Whitefield, Bangalore",Bangalore,100%,(23 votes),₹ 300 fee
Dr. Shamraz Abbas   (Physiotherapist),Physiotherapist,BPTh/BPT,10 Years Experience Overall,"BTM Layout 2nd Stage, Bangalore",Bangalore,100%,(23 votes),₹ 500 fee
Dr. Veena Sisodia   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",19 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,88%,(16 votes),₹ 550 fee
Dr. Valmiki Karthik   (Physiotherapist),Physiotherapist,BPTh/BPT,12 Years Experience Overall,"Whitefield, Bangalore",Bangalore,94%,(71 votes),₹ 750 fee
Dr. Nizam Hamza   (Physiotherapist),Physiotherapist,BPTh/BPT,7 Years Experience Overall  (4 years as specialist),"KR Puram, Bangalore",Bangalore,100%,(26 votes),₹ 450 fee
Dr. Archishubhra Pal   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",17 Years Experience Overall,"Hennur, Bangalore",Bangalore,98%,(212 votes),₹ 550 fee
Dr. Deepthi Panem   (Physiotherapist),Physiotherapist,BPTh/BPT,7 Years Experience Overall,"Whitefield, Bangalore",Bangalore,98%,(212 votes),₹ 300 fee
Dr. Riddi Suvarna   (Physiotherapist),Physiotherapist,BPTh/BPT,6 Years Experience Overall,"Banashankari 2nd Stage, Bangalore",Bangalore,98%,(212 votes),₹ 750 fee
Dr. B.Girija Reddy   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Urology and Obstetrics",5 Years Experience Overall,"Whitefield, Bangalore",Bangalore,98%,(212 votes),₹ 800 fee
Dr. Ganapathy M D   (Physiotherapist),Physiotherapist,"Masters of Physiotheraphy, BPTh/BPT",17 Years Experience Overall,"HRBR Layout, Bangalore",Bangalore,98%,(212 votes),₹ 400 fee
Dr. Priyanka Shamanth   (Physiotherapist),Physiotherapist,BPTh/BPT,18 Years Experience Overall,"Basavanagudi, Bangalore",Bangalore,97%,(58 votes),₹ 300 fee
Dr. Himanshu Bhagat   (Physiotherapist),Physiotherapist,BPTh/BPT,15 Years Experience Overall,"Mahadevapura, Bangalore",Bangalore,98%,(47 votes),₹ 2800 fee
Dr. Aditi Deshmukh   (Physiotherapist),Physiotherapist,BPTh/BPT,1 Year Experience Overall,"Banashankari 3rd Stage, Bangalore",Bangalore,98%,(47 votes),₹ 500 fee
Dr. Aishwarya Srinivasa   (Physiotherapist),Physiotherapist,BPTh/BPT,1 Year Experience Overall,"Banashankari 3rd Stage, Bangalore",Bangalore,98%,(47 votes),₹ 500 fee
Dr. Avanthi Prabhakar   (Physiotherapist),Physiotherapist,BPTh/BPT,12 Years Experience Overall,"Kundalahalli, Bangalore",Bangalore,96%,(55 votes),₹ 450 fee
Dr. S.Vijeendran   (Physiotherapist),Physiotherapist,"BSc - Exercise Therapy for Disabled, MPT/MPTh - Cardio-Thoracic Physiotherapy",24 Years Experience Overall  (16 years as specialist),"Banashankari 1st Stage, Bangalore",Bangalore,96%,(55 votes),₹ 500 fee
Dr. Sathish   (Physiotherapist),Physiotherapist,MPTh/MPT - Neurological Physiotherapy,6 Years Experience Overall  (5 years as specialist),"Nagawara, Bangalore",Bangalore,96%,(55 votes),₹ 1000 fee
Dr. Kenneth G. Hebick   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",23 Years Experience Overall  (8 years as specialist),"Malleswaram, Bangalore",Bangalore,96%,(55 votes),₹ 710 fee
Dr. Ponkhi Sharma   (Physiotherapist),Physiotherapist,BPTh/BPT,16 Years Experience Overall,"Banashankari 3rd Stage, Bangalore",Bangalore,100%,(73 votes),₹ 550 fee
Dr. Suman Sharma   (Physiotherapist),Physiotherapist,BPTh/BPT,11 Years Experience Overall,"JP Nagar 7 Phase, Bangalore",Bangalore,100%,(73 votes),₹ 500 fee
Dr. Anusha K.K   (Physiotherapist),Physiotherapist,BPTh/BPT,1 Year Experience Overall,"Jayanagar 7 Block, Bangalore",Bangalore,100%,(73 votes),₹ 500 fee
Dr. U Poovazhagan   (Physiotherapist),Physiotherapist,"BPTh/BPT, Diploma in Naturopathy & Yoga (NDDY)",15 Years Experience Overall,"KR Puram, Bangalore",Bangalore,100%,(73 votes),₹ 1200 fee
Dr. Manu Raj   (Physiotherapist),Physiotherapist,BPTh/BPT,6 Years Experience Overall,"Jayanagar, Bangalore",Bangalore,100%,(73 votes),₹ 400 fee
Dr. Surendra Chaudhary   (Physiotherapist),Physiotherapist,BPTh/BPT,5 Years Experience Overall,"Koramangala 6 Block, Bangalore",Bangalore,100%,(73 votes),₹ 400 fee
Dr. Hemanth Kumar   (Physiotherapist),Physiotherapist,BPTh/BPT,14 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,100%,(73 votes),₹ 700 fee
Dr. Arun Kumar Rawal   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",12 Years Experience Overall  (7 years as specialist),"Indiranagar, Bangalore",Bangalore,99%,(95 votes),₹ 1500 fee
Dr. Kavitha Bhaskar   (Physiotherapist),Physiotherapist,Masters of Physiotheraphy,4 Years Experience Overall,"Peenya, Bangalore",Bangalore,100%,(12 votes),₹ 500 fee
Dr. Irshad Akram Pasha   (Physiotherapist),Physiotherapist,BPTh/BPT,2 Years Experience Overall,"Richmond Town, Bangalore",Bangalore,100%,(12 votes),₹ 400 fee
Dr. Jyothi K R   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",13 Years Experience Overall,"Kundalahalli, Bangalore",Bangalore,100%,(12 votes),₹ 550 fee
