Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Sudhir Hebbar,Psychiatrist,"MBBS, DNB - Psychiatry",30 Years Experience Overall  (23 years as specialist),"Marathahalli, Bangalore",Bangalore,76%,(84 votes),₹ 800 fee
Dr. Meena Gnanasekharan,Psychiatrist,"MBBS, CCT- Child and Adolescent Psychiatry, Diplomate of American Board of Psychiatry and Neurology, M.D. (Psychiatry)",28 Years Experience Overall  (17 years as specialist),"Hebbal, Bangalore",Bangalore,85%,(400 votes),₹ 2830 fee
Dr. Shobha Krishna,Psychiatrist,"MBBS, MRCPsych",31 Years Experience Overall  (16 years as specialist),"Jayanagar, Bangalore",Bangalore,95%,(222 votes),₹ 1500 fee
Dr. Venkatesh Babu G M,Psychiatrist,"MBBS, M.D. (Psychiatry)",17 Years Experience Overall  (11 years as specialist),"HSR Layout, Bangalore",Bangalore,85%,(100 votes),₹ 1000 fee
Dr. Sumanth T P,Psychiatrist,"M.D. (Psychiatry), MBBS",17 Years Experience Overall  (11 years as specialist),"Chandra Layout, Bangalore",Bangalore,96%,(25 votes),₹ 1000 fee
Dr. Shradha Shejekar,Psychiatrist,"M.D. (Psychiatry), MBBS",10 Years Experience Overall  (4 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,96%,(25 votes),₹ 1100 fee
Dr. Manjunath H,Psychiatrist,"DPM (Psychiatry), MBBS",24 Years Experience Overall  (9 years as specialist),"Indiranagar, Bangalore",Bangalore,67%,(24 votes),₹ 800 fee
Dr. Anand Jayaraman,Psychiatrist,"MBBS, MRCPsych",26 Years Experience Overall  (20 years as specialist),"Millers Road, Bangalore",Bangalore,87%,(45 votes),₹ 1500 fee
Dr. Safiya M.S,Psychiatrist,"MBBS, Diploma in Psychiatry",18 Years Experience Overall  (13 years as specialist),"Sahakaranagar, Bangalore",Bangalore,96%,(2684 votes),₹ 1500 fee
Dr. Vijay Mehtry,Psychiatrist,"MBBS, M.D. (Psychiatry)",15 Years Experience Overall  (9 years as specialist),"JP Nagar 7 Phase, Bangalore",Bangalore,98%,(214 votes),₹ 800 fee
Dr. Harsha GT,Psychiatrist,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (9 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,98%,(214 votes),₹ 1000 fee
Dr. Lakshmi S,Psychiatrist,"MBBS, DPM (Psychiatry), M.D. (Psychiatry)",15 Years Experience Overall  (10 years as specialist),"Banashankari 3rd Stage, Bangalore",Bangalore,97%,(38 votes),₹ 1200 fee
Dr. Anand,Psychiatrist,"MBBS, M.D. (Psychiatry)",15 Years Experience Overall  (1 year as specialist),"Mahadevapura, Bangalore",Bangalore,97%,(38 votes),₹ 1000 fee
Dr. Kaustubh Gosavi,Psychiatrist,"MBBS, M.D. (Psychiatry)",8 Years Experience Overall  (4 years as specialist),"Indiranagar, Bangalore",Bangalore,100%,(97 votes),₹ 1000 fee
Dr. Vani P,Psychiatrist,"M.D. (Psychiatry), MBBS",5 Years Experience Overall  (4 years as specialist),"HSR Layout, Bangalore",Bangalore,100%,(97 votes),₹ 1250 fee
Dr. Valli Kiran Manduva,Psychiatrist,"MBBS, DPM (Psychiatry)",22 Years Experience Overall  (18 years as specialist),"Rajarajeshwarinagar, Bangalore",Bangalore,100%,(97 votes),₹ 1500 fee
Dr. Bhavya K Bairy,Psychiatrist,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (7 years as specialist),"Sampangiramnagar, Bangalore",Bangalore,100%,(97 votes),₹ 1200 fee
Dr. Pavana.S,Psychiatrist,"MBBS, DPM (Psychiatry)",16 Years Experience Overall  (11 years as specialist),"Vidyaranyapura, Bangalore",Bangalore,58%,(12 votes),₹ 1000 fee
Dr. Dhruva Ithal,Psychiatrist,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (8 years as specialist),"Yelahanka, Bangalore",Bangalore,100%,(12 votes),₹ 1000 fee
Dr. Vanishree B N,Psychiatrist,"MBBS, DPM (Psychiatry)",6 Years Experience Overall  (4 years as specialist),"Sarjapur Road, Bangalore",Bangalore,100%,(12 votes),₹ 1100 fee
Dr. Vidhyavathi M,Psychiatrist,"MBBS, M.D. (Psychiatry)",17 Years Experience Overall  (8 years as specialist),"Malleswaram, Bangalore",Bangalore,100%,(12 votes),₹ 1350 fee
Dr. Satish Ramaiah,Psychiatrist,"MBBS, MRCPsych",22 Years Experience Overall  (13 years as specialist),"Yelahanka, Bangalore",Bangalore,98%,(1424 votes),₹ 1500 fee
Dr. Ashok Shetty,Psychiatrist,"MBBS, M.D. (Psychiatry)",24 Years Experience Overall  (7 years as specialist),"Vijayanagar, Bangalore",Bangalore,97%,(58 votes),₹ 1200 fee
Dr. Kapur B,Psychiatrist,"MBBS, M.D. (Psychiatry)",45 Years Experience Overall,"Hebbal, Bangalore",Bangalore,91%,(32 votes),₹ 2130 fee
Dr. Shilpa Sri S.K,Psychiatrist,"MBBS, DPM (Psychiatry)",19 Years Experience Overall  (12 years as specialist),"Basaveshwaranagar, Bangalore",Bangalore,98%,(174 votes),₹ 850 fee
Dr. Krishen Ranganath,Psychiatrist,"MBBS, MRCPsych, Diploma in Clinical Psychiatry",23 Years Experience Overall  (17 years as specialist),"Seshadripuram, Bangalore",Bangalore,99%,(117 votes),₹ 740 fee
Dr. Kiran Kumar K,Psychiatrist,"MBBS, M.D. (Psychiatry)",19 Years Experience Overall  (12 years as specialist),"Marathahalli, Bangalore",Bangalore,97%,(391 votes),₹ 800 fee
Dr. Ravi Prakash,Psychiatrist,"MBBS, DPM (Psychiatry), MD - Physiology",19 Years Experience Overall  (18 years as specialist),"Mathikere - BEL, Bangalore",Bangalore,93%,(514 votes),₹ 1200 fee
Dr. Bhupendra Chaudhry,Psychiatrist,"MBBS, M.D. (Psychiatry)",31 Years Experience Overall  (18 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,92%,(108 votes),₹ 1250 fee
Dr. Sushruth,Psychiatrist,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (5 years as specialist),"Indiranagar, Bangalore",Bangalore,98%,(370 votes),₹ 750 fee
Dr. Shivadev M,Psychiatrist,"MBBS, M.D. (Psychiatry)",17 Years Experience Overall  (13 years as specialist),"Koramangala 6 Block, Bangalore",Bangalore,99%,(238 votes),₹ 1000 fee
Dr. Vijayakumar D.R,Psychiatrist,"MBBS, DPM (Psychiatry)",29 Years Experience Overall  (25 years as specialist),"Whitefield, Bangalore",Bangalore,85%,(33 votes),₹ 1700 fee
Dr. Sandip Deshpande,Psychiatrist,"MBBS, M.D. (Psychiatry)",23 Years Experience Overall  (20 years as specialist),"Indiranagar, Bangalore",Bangalore,97%,(75 votes),₹ 1500 fee
Dr. V Srinivas Reddy,Psychiatrist,"MBBS, MRCP (UK)",29 Years Experience Overall  (17 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,97%,(75 votes),₹ 1400 fee
Dr. Naveen Jayaram,Psychiatrist,"MBBS, M.D. (Psychiatry)",15 Years Experience Overall  (11 years as specialist),"Whitefield, Bangalore",Bangalore,98%,(887 votes),₹ 1500 fee
Dr. Gajanan Kulkarni,Psychiatrist,"MBBS, Diploma in Psychiatry, M.D. (Psychiatry)",15 Years Experience Overall  (9 years as specialist),"Jayanagar, Bangalore",Bangalore,95%,(37 votes),₹ 1000 fee
Dr. Khushboo Dewani,Psychiatrist,"M.D. (Psychiatry), MBBS",9 Years Experience Overall  (3 years as specialist),"Nagarbhavi, Bangalore",Bangalore,99%,(109 votes),₹ 850 fee
Dr. Lavanya,Psychiatrist,"MBBS, DPM (Psychiatry)",18 Years Experience Overall  (6 years as specialist),"Vidyaranyapura, Bangalore",Bangalore,72%,(18 votes),₹ 1500 fee
Dr. Bhargavaraman R P,Psychiatrist,"MBBS, M.D. (Psychiatry), DNB - Psychiatry",23 Years Experience Overall  (17 years as specialist),"Koramangala, Bangalore",Bangalore,100%,(26 votes),₹ 1600 fee
Dr. Madalsa Agrawal,Psychiatrist,"DPM (Psychiatry), MBBS",11 Years Experience Overall  (8 years as specialist),"New Thippasandra, Bangalore",Bangalore,99%,(97 votes),₹ 1000 fee
Dr. Sreelakshmi Sharma,Psychiatrist,"MBBS, M.D. (Psychiatry)",8 Years Experience Overall  (3 years as specialist),"Indiranagar, Bangalore",Bangalore,100%,(18 votes),₹ 2000 fee
Dr. Shreedhar K B,Psychiatrist,"MBBS, DPM (Psychiatry), DNB - Psychiatry, Fellow of the Royal Australian and New Zealand College of Psychiatrists (FRANZCP)",21 Years Experience Overall  (18 years as specialist),"Koramangala, Bangalore",Bangalore,100%,(24 votes),₹ 1600 fee
Dr. Raja Hiremani,Psychiatrist,"MBBS, M.D. (Psychiatry), Fellow of the Royal Australian and New Zealand College of Psychiatrists (FRANZCP)",21 Years Experience Overall  (16 years as specialist),"Koramangala, Bangalore",Bangalore,96%,(49 votes),₹ 1600 fee
Dr. Vyjayanti Bonanthaya,Psychiatrist,"MBBS, M.D. (Psychiatry)",35 Years Experience Overall  (30 years as specialist),"Old Airport Road, Bangalore",Bangalore,79%,(33 votes),₹ 900 fee
Dr. Swapna B,Psychiatrist,"MBBS, M.D. (Psychiatry)",21 Years Experience Overall  (14 years as specialist),"HSR Layout, Bangalore",Bangalore,86%,(22 votes),₹ 1550 fee
Dr. Divya Ganesh Nallur,Psychiatrist,"MBBS, MRCPsych, Master of Psychiatry - MPSY",23 Years Experience Overall  (17 years as specialist),"Indiranagar, Bangalore",Bangalore,95%,(282 votes),₹ 2000 fee
Dr. Megha Mahajan,Psychiatrist,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (9 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,87%,(15 votes),₹ 850 fee
Dr. Guru Prakash K V,Psychiatrist,"M.D. (Psychiatry), MBBS",17 Years Experience Overall  (16 years as specialist),"Vijayanagar, Bangalore",Bangalore,100%,(150 votes),₹ 1200 fee
Dr. Sabina Rao,Psychiatrist,"MBBS, Diplomate of American Board of Psychiatry and Neurology",23 Years Experience Overall  (15 years as specialist),"Sarjapur Road, Bangalore",Bangalore,93%,(55 votes),₹ 1500 fee
Dr. Vachana,Psychiatrist,"MBBS, M.D. (Psychiatry)",7 Years Experience Overall  (3 years as specialist),"Kundalahalli, Bangalore",Bangalore,93%,(55 votes),₹ 1200 fee
Dr. Supriya Dsilva,Psychiatrist,"MBBS, DPM (Psychiatry), DNB - Psychiatry",9 Years Experience Overall  (6 years as specialist),"Sarjapur Road, Bangalore",Bangalore,93%,(55 votes),₹ 1050 fee
Dr. Sony Mathews Lukose,Psychiatrist,"MBBS, M.D. (Psychiatry)",13 Years Experience Overall  (6 years as specialist),"Sahakaranagar, Bangalore",Bangalore,100%,(21 votes),₹ 1500 fee
Dr. Ruchi Gupta,Psychiatrist,"MBBS, Diploma in Psychiatry",22 Years Experience Overall,"Yelahanka, Bangalore",Bangalore,100%,(21 votes),₹ 1500 fee
Dr. Anitha Chandra,Psychiatrist,"MBBS, MRCPsych, CCT - Old Age Psychiatry",23 Years Experience Overall  (12 years as specialist),"Sahakaranagar, Bangalore",Bangalore,100%,(21 votes),₹ 1100 fee
Dr. Vidya M K,Psychiatrist,"MBBS, DPM (Psychiatry), DNB - Psychiatry",15 Years Experience Overall  (11 years as specialist),"Yelahanka, Bangalore",Bangalore,100%,(20 votes),₹ 1000 fee
Dr. Vikram Arunachalam,Psychiatrist,"MBBS, DNB - Psychiatry",21 Years Experience Overall  (10 years as specialist),"Malleswaram, Bangalore",Bangalore,100%,(20 votes),₹ 1350 fee
Dr. Adarsh B,Psychiatrist,"MBBS, M.D. (Psychiatry)",5 Years Experience Overall  (2 years as specialist),"Nagasandra, Bangalore",Bangalore,100%,(20 votes),₹ 1050 fee
Dr. Prakruthi N,Psychiatrist,"MBBS, M.D. (Psychiatry)",12 Years Experience Overall  (7 years as specialist),"Whitefield, Bangalore",Bangalore,89%,(18 votes),₹ 1000 fee
Dr. R Prabhu,Psychiatrist,"MBBS, Diploma in Clinical Psychiatry, MRCPsych, CCT- Child and Adolescent Psychiatry",27 Years Experience Overall  (16 years as specialist),"Yelahanka, Bangalore",Bangalore,89%,(18 votes),₹ 2000 fee
Dr. Vishukumar H S,Psychiatrist,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (3 years as specialist),"Bellandur, Bangalore",Bangalore,89%,(18 votes),₹ 1200 fee
Dr. Vidhya Jothi.N,Psychiatrist,"MBBS, M.D. (Psychiatry)",7 Years Experience Overall  (2 years as specialist),"Yelahanka, Bangalore",Bangalore,89%,(18 votes),₹ 1500 fee
Dr. Soumya P,Psychiatrist,"MBBS, DNB - Psychiatry, DPM (Psychiatry)",13 Years Experience Overall  (12 years as specialist),"Indiranagar, Bangalore",Bangalore,89%,(18 votes),₹ 1400 fee
Dr. Shruti Nair,Psychiatrist,"MBBS, M.D. (Psychiatry)",5 Years Experience Overall  (4 years as specialist),"Indiranagar, Bangalore",Bangalore,89%,(18 votes),₹ 1000 fee
Dr. Mathews Joseph Panicker,Psychiatrist,"MBBS, M.D. (Psychiatry)",5 Years Experience Overall  (2 years as specialist),"Mahadevapura, Bangalore",Bangalore,89%,(18 votes),₹ 1000 fee
