Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Shivaraj A L,Pulmonologist,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",13 Years Experience Overall  (11 years as specialist),"Whitefield, Bangalore",Bangalore,98%,(86 votes),₹ 850 fee
Dr. Raghu,Pulmonologist,"MBBS, MD - Tuberculosis and Chest Diseases",19 Years Experience Overall  (12 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,100%,(12 votes),₹ 750 fee
Dr. Srivatsa Lokeshwaran,Pulmonologist,"MD - Pulmonary Medicine, MBBS",15 Years Experience Overall  (10 years as specialist),"RT Nagar, Bangalore",Bangalore,97%,(248 votes),₹ 700 fee
Dr. Hirennappa B. Udnur,Pulmonologist,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",20 Years Experience Overall  (15 years as specialist),"Hebbal, Bangalore",Bangalore,94%,(521 votes),₹ 800 fee
Dr. Rakesh Bilagi,Pulmonologist,"MBBS, MD - Respiratory Medicine",11 Years Experience Overall  (5 years as specialist),"JP Nagar 7 Phase, Bangalore",Bangalore,100%,(13 votes),₹ 850 fee
Dr. Manjunath B G,Pulmonologist,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine, DM - Pulmonary Medicine & Critical Care Medicine",14 Years Experience Overall  (9 years as specialist),"Whitefield, Bangalore",Bangalore,100%,(13 votes),₹ 850 fee
Dr. Vishwa Vijeth,Pulmonologist,"MBBS, MD - Pulmonary Medicine, DAA - Diploma in Allergy Asthma and Immunology",8 Years Experience Overall  (4 years as specialist),"HSR Layout, Bangalore",Bangalore,99%,(163 votes),₹ 500 fee
Dr. Vishwanath V Bellad,Pulmonologist,"MBBS, DNB - Respiratory Diseases",29 Years Experience Overall  (20 years as specialist),"Kengeri, Bangalore",Bangalore,96%,(79 votes),₹ 700 fee
Dr. K S Satish,Pulmonologist,"MBBS, MD - Medicine, MRCP (UK)",38 Years Experience Overall  (32 years as specialist),"Millers Road, Bangalore",Bangalore,89%,(156 votes),₹ 1000 fee
Dr. Sandeep H S,Pulmonologist,"MBBS, MD - Pulmonary Medicine, DM - Pulmonary Medicine & Critical Care Medicine",12 Years Experience Overall  (9 years as specialist),"Kengeri, Bangalore",Bangalore,71%,(14 votes),₹ 700 fee
Dr. Vandana D.Prabhu,Pulmonologist,"Diploma in Tuberculosis and Chest Diseases (DTCD), FCCP - Pulmonary Medicine, MBBS",25 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,80%,(79 votes),₹ 850 fee
Dr. Mohammed Attaullah Khan S,Pulmonologist,"MBBS, DNB - Respiratory Diseases, Diploma in Tuberculosis and Chest Diseases (DTCD)",24 Years Experience Overall  (19 years as specialist),"Hebbal, Bangalore",Bangalore,80%,(79 votes),₹ 800 fee
Dr. Ramesh B.R.,Pulmonologist,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",31 Years Experience Overall  (30 years as specialist),"Malleswaram, Bangalore",Bangalore,96%,(107 votes),₹ 810 fee
Dr. Sunil Kumar K,Pulmonologist,"MBBS, MD - General Medicine, DM - Pulmonary Medicine",20 Years Experience Overall  (8 years as specialist),"Hebbal, Bangalore",Bangalore,82%,(34 votes),₹ 1000 fee
Dr. Sumant Mantri,Pulmonologist,"MBBS, DNB - Respiratory Diseases",27 Years Experience Overall  (19 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,60%,(15 votes),₹ 1000 fee
Dr. Divya Shree J,Pulmonologist,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",6 Years Experience Overall,"Jayanagar 9 Block, Bangalore",Bangalore,60%,(15 votes),₹ 750 fee
Dr. R.Chaitanya Sravanthi,Pulmonologist,"MBBS, MD - Pulmonary Medicine, DNB - Respiratory Diseases",14 Years Experience Overall  (9 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,96%,(55 votes),₹ 800 fee
Dr. Sudharshan K S,Pulmonologist,"MBBS, DNB - Pulmonary Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD)",13 Years Experience Overall  (9 years as specialist),"Cunningham Road, Bangalore",Bangalore,93%,(30 votes),₹ 1000 fee
Dr. Huliraj N,Pulmonologist,"MBBS, DNB - Pulmonary Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD)",33 Years Experience Overall  (32 years as specialist),"Ashoknagar, Bangalore",Bangalore,79%,(19 votes),₹ 800 fee
Dr. Padma Sundaram,Pulmonologist,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",32 Years Experience Overall  (29 years as specialist),"Cunningham Road, Bangalore",Bangalore,70%,(76 votes),₹ 1500 fee
Dr. Adimalla Raja Kumar,Pulmonologist,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",7 Years Experience Overall  (1 year as specialist),"Kundalahalli, Bangalore",Bangalore,70%,(76 votes),₹ 800 fee
Dr. Guruprasad Bhat. S,Pulmonologist,"MBBS, MD - Pulmonary Medicine",25 Years Experience Overall  (24 years as specialist),"Old Airport Road, Bangalore",Bangalore,94%,(110 votes),₹ 900 fee
Dr. Amruth Sindhu,Pulmonologist,"MBBS, DNB - Respiratory Diseases",17 Years Experience Overall  (9 years as specialist),"Hebbal Kempapura, Bangalore",Bangalore,90%,(102 votes),₹ 700 fee
Dr. Vasunethra Kasargod,Pulmonologist,"MBBS, MD - Pulmonary Medicine",13 Years Experience Overall  (8 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,99%,(706 votes),₹ 750 fee
Dr. H B Chandrashekar,Pulmonologist,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",40 Years Experience Overall  (39 years as specialist),"Malleswaram, Bangalore",Bangalore,94%,(280 votes),₹ 810 fee
Dr. Satyanarayana Mysore,Pulmonologist,"MBBS, DNB - General Medicine, FRACP (Respiratory Medicine & Sleep Medicine), FCCP - Pulmonary Medicine",30 Years Experience Overall  (8 years as specialist),"Old Airport Road, Bangalore",Bangalore,79%,(33 votes),₹ 900 fee
Dr. Vishvajith,Pulmonologist,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",13 Years Experience Overall,"Banashankari, Bangalore",Bangalore,79%,(33 votes),₹ 700 fee
Dr. Huzefa Suratwala  Ismail,Pulmonologist,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - General Medicine",24 Years Experience Overall  (21 years as specialist),"AECS Layout, Bangalore",Bangalore,85%,(89 votes),₹ 600 fee
Dr. Koushik N S,Pulmonologist,"MBBS, DNB - Pulmonary Medicine",22 Years Experience Overall  (9 years as specialist),"Malleswaram, Bangalore",Bangalore,90%,(60 votes),₹ 810 fee
Dr. Amol Anilrao Ashtekar,Pulmonologist,"MBBS, DNB - Pulmonary Medicine",13 Years Experience Overall  (9 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,90%,(60 votes),₹ 600 fee
