Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Chethana Dharmapalaiah,Rheumatologist,"MBBS, MRCP (UK), CCT - Rheumatology",18 Years Experience Overall  (16 years as specialist),"Hebbal, Bangalore",Bangalore,97%,(36 votes),₹ 1000 fee
Dr. Uma Karjigi,Rheumatologist,"MBBS, MRCP (UK)",22 Years Experience Overall  (7 years as specialist),"Jayanagar, Bangalore",Bangalore,82%,(28 votes),₹ 1000 fee
Dr. Srinivasa.C,Rheumatologist,"MD - General Medicine, MBBS, DM - Rheumatology",20 Years Experience Overall  (9 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,98%,(168 votes),₹ 850 fee
Dr. Abhishek Patil,Rheumatologist,"MBBS, MD - General Medicine, DNB - Rheumatology",12 Years Experience Overall  (5 years as specialist),"Old Airport Road, Bangalore",Bangalore,81%,(16 votes),₹ 900 fee
Dr. Prashant Bafna,Rheumatologist,"MBBS, MD - General Medicine, DM - Rheumatology",9 Years Experience Overall  (2 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,81%,(16 votes),₹ 900 fee
Dr. Raghavendra H,Rheumatologist,"MBBS, MD - General Medicine, DM - Clinical Immunology and Rheumatology",11 Years Experience Overall  (2 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,81%,(16 votes),₹ 850 fee
Dr. Satish Kalanje,Rheumatologist,"MBBS, Fellowship in Rheumatology",31 Years Experience Overall  (24 years as specialist),"Millers Road, Bangalore",Bangalore,94%,(34 votes),₹ 1000 fee
Dr. Pradeep Kumar,Rheumatologist,"MBBS, MD - Rheumatology",24 Years Experience Overall  (11 years as specialist),"Electronics City, Bangalore",Bangalore,71%,(14 votes),₹ 900 fee
Dr. Harshini A S,Rheumatologist,"MBBS, MD - General Medicine",12 Years Experience Overall,"Rajarajeshwarinagar, Bangalore",Bangalore,98%,(64 votes),₹ 850 fee
Dr. Sreejitha K S,Rheumatologist,"MBBS, MD - General Medicine, DM - Clinical Immunology and Rheumatology",14 Years Experience Overall  (1 year as specialist),"Malleswaram, Bangalore",Bangalore,98%,(64 votes),₹ 810 fee
Dr. Sharath Kumar,Rheumatologist,"MBBS, MD - Pediatrics, DNB - Rheumatology, Graduate Certificate of Paediatric Rheumatology",21 Years Experience Overall  (16 years as specialist),"Nagasandra, Bangalore",Bangalore,98%,(2937 votes),₹ 1000 fee
Dr. Yathish GC,Rheumatologist,"MBBS, MD - General Medicine, DNB - Rheumatology",15 Years Experience Overall  (8 years as specialist),"Whitefield, Bangalore",Bangalore,99%,(140 votes),₹ 900 fee
