Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. L N Raju,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",23 Years Experience Overall,"Malleswaram, Bangalore",Bangalore,91%,(11 votes),₹ 750 fee
Dr. Udaybhaskar M,Urologist,"MBBS, MS - General Surgery, MCh - Urology",18 Years Experience Overall  (10 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,77%,(47 votes),₹ 750 fee
Dr. Sriharsha Ajjur,Urologist,"MS - General Surgery, MCh - Urology, MBBS",19 Years Experience Overall  (13 years as specialist),"BTM Layout, Bangalore",Bangalore,96%,(281 votes),₹ 800 fee
Dr. Nagasubramanyam S,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",39 Years Experience Overall  (35 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,96%,(215 votes),₹ 750 fee
Dr. Anand Arumugam,Urologist,"MBBS, MS - General Surgery, MCh - Urology",19 Years Experience Overall  (14 years as specialist),"Whitefield, Bangalore",Bangalore,94%,(805 votes),₹ 850 fee
Dr. Venkatesh Krishnamoorthy,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, FRCS - General Surgery",38 Years Experience Overall  (32 years as specialist),"Padmanabhanagar, Bangalore",Bangalore,98%,(318 votes),₹ 750 fee
Dr. Kumar Prabhu,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",26 Years Experience Overall  (14 years as specialist),"Padmanabhanagar, Bangalore",Bangalore,89%,(85 votes),₹ 750 fee
Dr. Premkumar K,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",18 Years Experience Overall  (9 years as specialist),"Rajajinagar, Bangalore",Bangalore,98%,(40 votes),₹ 630 fee
Dr. Sanjeev S Tonshal,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",21 Years Experience Overall  (9 years as specialist),"Hebbal, Bangalore",Bangalore,94%,(53 votes),₹ 1000 fee
Dr. Govardhan Reddy,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MRCS (UK)",29 Years Experience Overall  (17 years as specialist),"Hebbal, Bangalore",Bangalore,81%,(37 votes),₹ 1000 fee
Dr. Rajeev Bashetty,Urologist,"MBBS, MS - General Surgery, MCh - Urology",21 Years Experience Overall  (14 years as specialist),"HSR Layout, Bangalore",Bangalore,95%,(786 votes),₹ 900 fee
Dr. Girish H,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",22 Years Experience Overall  (15 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,100%,(11 votes),₹ 850 fee
Dr. Pramod B R,Urologist,"MBBS, MS - General Surgery, MRCS (UK), MCh - Urology/Genito-Urinary Surgery",22 Years Experience Overall  (17 years as specialist),"Jayanagar, Bangalore",Bangalore,89%,(35 votes),₹ 1000 fee
Dr. Dilip Dhanpal,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",46 Years Experience Overall  (42 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,63%,(27 votes),₹ 600 fee
Dr. Vinod Kumar P,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",14 Years Experience Overall  (5 years as specialist),"Padmanabhanagar, Bangalore",Bangalore,98%,(100 votes),₹ 750 fee
Dr. Deepak Bolbandi,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",30 Years Experience Overall  (21 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,66%,(41 votes),₹ 850 fee
Dr. Ajay Shetty,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",19 Years Experience Overall  (18 years as specialist),"Hebbal, Bangalore",Bangalore,91%,(151 votes),₹ 1090 fee
Dr. Prathik R,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",10 Years Experience Overall  (4 years as specialist),"Seshadripuram, Bangalore",Bangalore,98%,(56 votes),₹ 700 fee
Dr. Vikram G.D.,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",16 Years Experience Overall  (10 years as specialist),"Hebbal, Bangalore",Bangalore,96%,(45 votes),₹ 800 fee
Dr. Vinay Patil,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",26 Years Experience Overall  (17 years as specialist),"Hebbal, Bangalore",Bangalore,96%,(45 votes),₹ 1000 fee
Dr. Deepak Dubey,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MCh - Urology, FRCS - Urology",34 Years Experience Overall  (21 years as specialist),"Old Airport Road, Bangalore",Bangalore,87%,(55 votes),₹ 1100 fee
Dr. Ajay S Shetty,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",24 Years Experience Overall  (19 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,87%,(55 votes),₹ 950 fee
Dr. Prabhudev Salanki,Urologist,"MBBS, MS - General Surgery, FRCS - Urology, DNB - Urology/Genito - Urinary Surgery",34 Years Experience Overall  (32 years as specialist),"Seshadripuram, Bangalore",Bangalore,80%,(25 votes),₹ 740 fee
Dr. Chethan J V,Urologist,"MBBS, MS - General Surgery, MCh - Urology",16 Years Experience Overall  (6 years as specialist),"Whitefield, Bangalore",Bangalore,80%,(25 votes),₹ 850 fee
Dr. Shakir Tabrez,Urologist,"MBBS, MS - General Surgery, MCh - Urology",21 Years Experience Overall  (18 years as specialist),"Cunningham Road, Bangalore",Bangalore,96%,(27 votes),₹ 700 fee
Dr. Krishna Prasad T,Urologist,"DNB - Urology/Genito - Urinary Surgery, MBBS",11 Years Experience Overall,"Rajajinagar, Bangalore",Bangalore,88%,(75 votes),₹ 750 fee
Dr. Pramod K,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",14 Years Experience Overall  (5 years as specialist),"Rajajinagar, Bangalore",Bangalore,97%,(65 votes),₹ 1000 fee
Dr. I R Ravish,Urologist,"MBBS, MS - General Surgery, MCh - Urology",27 Years Experience Overall  (20 years as specialist),"JP Nagar, Bangalore",Bangalore,85%,(62 votes),₹ 1000 fee
Dr. Harsha R,Urologist,"MBBS, MS - General Surgery, MCh - Urology",10 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,85%,(62 votes),₹ 800 fee
Dr. Narendra,Urologist,"MBBS, MCh - Urology/Genito-Urinary Surgery, MS - General Surgery",25 Years Experience Overall  (19 years as specialist),"Kengeri, Bangalore",Bangalore,75%,(16 votes),₹ 700 fee
Dr. Nithyananda H A,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",13 Years Experience Overall  (4 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,75%,(16 votes),₹ 850 fee
Dr. Shivashankar,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, FICS",36 Years Experience Overall,"Old Airport Road, Bangalore",Bangalore,68%,(41 votes),₹ 1100 fee
Dr. Giriraja Velayutham,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",20 Years Experience Overall  (6 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,100%,(38 votes),₹ 600 fee
Dr. Nagarjuna Reddy,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",9 Years Experience Overall  (1 year as specialist),"Padmanabhanagar, Bangalore",Bangalore,100%,(38 votes),₹ 750 fee
Dr. Vishal Ratkal,Urologist,"MCh - Urology, MS - General Surgery, MBBS",18 Years Experience Overall  (7 years as specialist),"Rajarajeshwarinagar, Bangalore",Bangalore,98%,(51 votes),₹ 850 fee
Dr. Chandrashekar,Urologist,"MBBS, DNB - Urology/Genito - Urinary Surgery, MS - General Surgery, MRCS (UK)",23 Years Experience Overall  (9 years as specialist),"Nagasandra, Bangalore",Bangalore,100%,(11 votes),₹ 750 fee
Dr. Saurabh Vashistha,Urologist,"MBBS, DNB - General Surgery, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MCh - Urology",11 Years Experience Overall  (9 years as specialist),"Old Airport Road, Bangalore",Bangalore,31%,(16 votes),₹ 1100 fee
Dr. Mohan Balaiah Aswathaiya,Urologist,"DNB - Urology/Genito - Urinary Surgery, MS - General Surgery, MBBS",16 Years Experience Overall  (5 years as specialist),"Cunningham Road, Bangalore",Bangalore,31%,(16 votes),₹ 700 fee
Dr. Avinash T S,Urologist,"MBBS, DNB - General Surgery, MCh - Urology",22 Years Experience Overall  (15 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,98%,(94 votes),₹ 850 fee
Dr. Dilip Jawali,Urologist,"MBBS, MCh - Urology, MS - General Surgery",43 Years Experience Overall  (42 years as specialist),"Seshadripuram, Bangalore",Bangalore,98%,(94 votes),₹ 740 fee
Dr. Akhbar Salim,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",9 Years Experience Overall  (1 year as specialist),"Whitefield, Bangalore",Bangalore,98%,(94 votes),₹ 900 fee
Dr. T. Manohar,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",33 Years Experience Overall  (24 years as specialist),"Seshadripuram, Bangalore",Bangalore,50%,(20 votes),₹ 1000 fee
Dr. Ravi Chandran K,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",12 Years Experience Overall  (3 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,50%,(20 votes),₹ 1000 fee
