Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Dr. Parameshwara C M,bariatric surgeon,"MBBS, MS - General Surgery",29 Years Experience Overall  (23 years as specialist),"Mathikere - BEL, Bangalore",Bangalore,97%,(332 votes),₹ 1000 fee
Dr. Gautham S L,bariatric surgeon,"MS - General Surgery, MBBS",15 Years Experience Overall  (11 years as specialist),"Arekere, Bangalore",Bangalore,99%,(168 votes),₹ 500 fee
Dr. Priyanka Akhilesh Sali,bariatric surgeon,"MBBS, DNB - General Surgery",15 Years Experience Overall  (9 years as specialist),"Indiranagar, Bangalore",Bangalore,92%,(36 votes),₹ 699 fee
Dr. Maruthesh Gowda,bariatric surgeon,"MBBS, FRCS - General Surgery, MRCS (UK)",19 Years Experience Overall  (13 years as specialist),"Hegde Nagar, Bangalore",Bangalore,95%,(1187 votes),₹ 600 fee
Dr. Nanda Rajaneesh,bariatric surgeon,"MBBS, MS - General Surgery, Training in Surgical Oncology (G.I. Oncology)",28 Years Experience Overall  (22 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,84%,(201 votes),₹ 600 fee
Dr. Kiran K J,bariatric surgeon,"MBBS, MS - General Surgery",19 Years Experience Overall  (13 years as specialist),"Konanakunte, Bangalore",Bangalore,92%,(63 votes),₹ 500 fee
Dr. Ravishankar Bhat,bariatric surgeon,"MBBS, MS - General Surgery, DNB - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",32 Years Experience Overall  (26 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,94%,(174 votes),₹ 850 fee
Dr. H V Shivaram,bariatric surgeon,"MBBS, MS - General Surgery, FRCS - General Surgery (Upper GI)",40 Years Experience Overall  (30 years as specialist),"Hebbal, Bangalore",Bangalore,95%,(38 votes),₹ 1000 fee
Dr. Manas Ranjan Tripathy,bariatric surgeon,"MBBS, MS - General Surgery",18 Years Experience Overall  (12 years as specialist),"HSR Layout, Bangalore",Bangalore,97%,(154 votes),₹ 750 fee
Dr. Praveen S,bariatric surgeon,"MBBS, MS - General Surgery",16 Years Experience Overall  (11 years as specialist),"Hebbal, Bangalore",Bangalore,97%,(154 votes),₹ 800 fee
Dr. Vineet Mannan,bariatric surgeon,"MBBS, MS - General Surgery",16 Years Experience Overall  (10 years as specialist),"Kammana Halli, Bangalore",Bangalore,97%,(154 votes),₹ 500 fee
Dr. Mahesh Chikkachannappa,bariatric surgeon,"MBBS, MS - General Surgery",24 Years Experience Overall  (22 years as specialist),"Hebbal, Bangalore",Bangalore,90%,(21 votes),₹ 1000 fee
Dr. Saurabh Misra,bariatric surgeon,"MBBS, MS - General Surgery, FICS",27 Years Experience Overall  (23 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,85%,(13 votes),₹ 1000 fee
Dr. Muralidhar S. Kathalagiri,bariatric surgeon,"MBBS, MS - General Surgery",21 Years Experience Overall  (15 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,97%,(180 votes),₹ 750 fee
Dr. Vijay C R Reddy,bariatric surgeon,"MS - General Surgery, MBBS",28 Years Experience Overall  (22 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,92%,(26 votes),₹ 600 fee
Dr. Sumit Talwar,bariatric surgeon,"MBBS, MS - General Surgery",30 Years Experience Overall  (26 years as specialist),"Old Airport Road, Bangalore",Bangalore,86%,(22 votes),₹ 900 fee
Dr. C.Prashanth,bariatric surgeon,"MBBS, MS - General Surgery",30 Years Experience Overall  (22 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,86%,(22 votes),₹ 650 fee
Dr. Anand N S,bariatric surgeon,"MBBS, DNB - General Surgery, Fellowship in Minimal Invasive Surgery",20 Years Experience Overall  (15 years as specialist),"Hebbal, Bangalore",Bangalore,86%,(22 votes),₹ 800 fee
Dr. Sreedhara V Setty,bariatric surgeon,"MBBS, DNB - General Surgery",20 Years Experience Overall,"Electronics City, Bangalore",Bangalore,96%,(73 votes),₹ 650 fee
Dr. Niranjan P,bariatric surgeon,"MBBS, DNB - General Surgery",18 Years Experience Overall  (10 years as specialist),"Jayanagar, Bangalore",Bangalore,96%,(73 votes),₹ 700 fee
Dr. Sampath Kumar,bariatric surgeon,"DNB - General Surgery, MBBS",23 Years Experience Overall,"Old Airport Road, Bangalore",Bangalore,68%,(19 votes),₹ 900 fee
