Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
,,,,,,,,
Ms. Nafeesa Imteyaz,dietitian/nutritionist,MSc. - Dietetics & Food Service Management,28 Years Experience Overall  (27 years as specialist),"Indiranagar, Bangalore",Bangalore,98%,(3680 votes),₹ 1000 fee
Dr. Akhila Joshi,dietitian/nutritionist,"BNYS, MSc - Clinical Nutrition and Dietetics",14 Years Experience Overall  (8 years as specialist),"Kaggadasapura, Bangalore",Bangalore,96%,(489 votes),₹ 500 fee
Ms. Vani Krishna,dietitian/nutritionist,MSc - Clinical Nutrition and Dietetics,11 Years Experience Overall  (10 years as specialist),"Whitefield, Bangalore",Bangalore,100%,(15 votes),₹ 500 fee
Ms. Sonal Sureka,dietitian/nutritionist,"M.Sc- Dietetics and Applied Nutrition, BSc. - Home Science (Food Science and Nutrition)",8 Years Experience Overall  (7 years as specialist),"Ashoknagar, Bangalore",Bangalore,98%,(42 votes),₹ 1500 fee
Ms. Sharanya S Shastry,dietitian/nutritionist,M.Sc- Dietetics and Applied Nutrition,3 Years Experience Overall  (2 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,100%,(15 votes),₹ 600 fee
Dr. Sharmila Shankar,dietitian/nutritionist,"BAMS, Diploma in Clinical Nutrition",23 Years Experience Overall  (19 years as specialist),"Malleswaram, Bangalore",Bangalore,100%,(101 votes),₹ 1000 fee
Dr. Shailja Jain   (PhD),dietitian/nutritionist,PhD - Home Science (Food and Nutrition),18 Years Experience Overall,"Whitefield, Bangalore",Bangalore,100%,(101 votes),₹ 1500 fee
Ms. Shalmali Sharma,dietitian/nutritionist,"MSc - Dietitics / Nutrition, Diploma in Diet and Nutrition",20 Years Experience Overall  (19 years as specialist),"BTM Layout 2nd Stage, Bangalore",Bangalore,87%,(46 votes),₹ 1500 fee
Ms. Kavya S,dietitian/nutritionist,MSc - Nutrition and Dietetics,4 Years Experience Overall,"Kaggadasapura, Bangalore",Bangalore,100%,(15 votes),₹ 500 fee
Ms. Priyanka Wincy R,dietitian/nutritionist,B.Sc. - Home Science (Food & Nutrition),4 Years Experience Overall,"Koramangala 7 Block, Bangalore",Bangalore,100%,(15 votes),₹ 600 fee
Ms. Ranjitha K M,dietitian/nutritionist,"BSc. - Nutrition Food Service Management and Dietetics, M.Sc. - Food and Nutrition",6 Years Experience Overall,"Whitefield, Bangalore",Bangalore,100%,(15 votes),₹ 600 fee
Ms. Shikha Mishra,dietitian/nutritionist,MSc - Food Science and Nutrition,15 Years Experience Overall  (13 years as specialist),"Sarjapur Road, Bangalore",Bangalore,95%,(485 votes),₹ 500 fee
Dr. Keerthi Shree Kirisave   (PhD),dietitian/nutritionist,"B.Sc.- Clinical Nutrition & Dietetics, M.Sc. - Home Science (Food & Nutrition), PhD - Yoga",14 Years Experience Overall,"Basaveshwaranagar, Bangalore",Bangalore,97%,(114 votes),₹ 850 fee
Ms. Uma Trasi,dietitian/nutritionist,"BSc. - Home Science, MSc - Food and Applied Nutrition",23 Years Experience Overall,"Malleswaram, Bangalore",Bangalore,97%,(114 votes),₹ 610 fee
Ms. Amrutha K,dietitian/nutritionist,BSc. - Home Science (Food Science and Nutrition),5 Years Experience Overall,"HRBR Layout, Bangalore",Bangalore,97%,(114 votes),₹ 600 fee
Ms. Naziya Fathima,dietitian/nutritionist,"BSc - Dietitics / Nutrition, MSc - Food Science and Nutrition",5 Years Experience Overall,"Indiranagar, Bangalore",Bangalore,97%,(114 votes),₹ 600 fee
Ms. Anwesa Hajra,dietitian/nutritionist,"BSc - Dietitics / Nutrition, MSc - Applied Nutrition",10 Years Experience Overall,"Whitefield, Bangalore",Bangalore,97%,(114 votes),₹ 800 fee
Dr. Geetha B,dietitian/nutritionist,"Post Graduate Diploma in Applied Nutrition and Dietetics, BAMS",38 Years Experience Overall  (37 years as specialist),"Basaveshwaranagar, Bangalore",Bangalore,100%,(33 votes),₹ 250 fee
Ms. Shazia Makhdoomi,dietitian/nutritionist,M.Sc. - Home Science (Clinical Nutrition and Dietetics),14 Years Experience Overall  (13 years as specialist),"Vasanthnagar, Bangalore",Bangalore,100%,(277 votes),₹ 750 fee
Ms. Swathy Nair,dietitian/nutritionist,MSc - Food Science and Nutrition,3 Years Experience Overall,"Sadashivanagar, Bangalore",Bangalore,100%,(277 votes),₹ 600 fee
Dr. Prajna Bhandary,dietitian/nutritionist,M.Sc- Dietetics and Applied Nutrition,6 Years Experience Overall  (5 years as specialist),"Ashoknagar, Bangalore",Bangalore,100%,(277 votes),₹ 500 fee
Ms. Nida Asgar Ali,dietitian/nutritionist,M.Sc. - Home Science (Food & Nutrition),8 Years Experience Overall  (7 years as specialist),"Ashoknagar, Bangalore",Bangalore,100%,(277 votes),₹ 800 fee
Dr. K Jyothi Rao,dietitian/nutritionist,"DHMS (Diploma in Homeopathic Medicine and Surgery), MSc - Clinical Nutrition and Dietetics, MSc - Psychotherapy And Counselling",31 Years Experience Overall  (7 years as specialist),"Indiranagar, Bangalore",Bangalore,100%,(277 votes),₹ 500 fee
Ms. Silky Mahajan,dietitian/nutritionist,"B.Sc. - Home Science (Food & Nutrition), M.Sc. - Home Science (Food & Nutrition)",15 Years Experience Overall  (14 years as specialist),"Koramangala 3 Block, Bangalore",Bangalore,97%,(238 votes),₹ 1500 fee
Ms. Sreelakshmi M,dietitian/nutritionist,MSc - Clinical Nutrition and Dietetics,4 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,97%,(238 votes),₹ 500 fee
Ms. Dhanalakshmi,dietitian/nutritionist,M.Sc. - Food and Nutrition,18 Years Experience Overall  (17 years as specialist),"Kodichikkanahalli, Bangalore",Bangalore,100%,(16 votes),₹ 750 fee
Mr. Vishal Kumar Wadi,dietitian/nutritionist,Diploma in Clinical Nutrition,6 Years Experience Overall  (4 years as specialist),"Rajarajeshwarinagar, Bangalore",Bangalore,97%,(33 votes),₹ 1500 fee
Ms. Arpitha,dietitian/nutritionist,MSc - Food Science and Nutrition,14 Years Experience Overall,"Yeshwanthpur, Bangalore",Bangalore,97%,(33 votes),₹ 1000 fee
Ms. Anitha Narayanamurthy,dietitian/nutritionist,Certification in Health Coaching Nutrition,9 Years Experience Overall  (8 years as specialist),"Sanjay Nagar, Bangalore",Bangalore,92%,(13 votes),₹ 700 fee
Ms. Vinny Joglekar,dietitian/nutritionist,"MSc - Nutrition and Dietetics, B.Sc. - Home Science (Food & Nutrition)",42 Years Experience Overall,"Old Airport Road, Bangalore",Bangalore,99%,(252 votes),₹ 600 fee
Dr. Bharathi AV   (PhD),dietitian/nutritionist,"BSc - Dietitics / Nutrition, MSc - Dietitics / Nutrition, PhD - Food Science and Nutrition ",26 Years Experience Overall  (10 years as specialist),"Richmond Town, Bangalore",Bangalore,92%,(107 votes),₹ 1500 fee
Ms. Phebe Vinodhini,dietitian/nutritionist,MSc. - Food Service Management & Dietetics,11 Years Experience Overall,"Koramangala 5 Block, Bangalore",Bangalore,100%,(50 votes),₹ 500 fee
Dr. Priti Kumari,dietitian/nutritionist,Diploma in Nutrition and Health Education,1 Year Experience Overall,"Kadugodi, Bangalore",Bangalore,100%,(50 votes),₹ 600 fee
Ms. Sushmaa Jaiswal,dietitian/nutritionist,M.Sc. - Home Science (Food & Nutrition),37 Years Experience Overall  (35 years as specialist),"Whitefield, Bangalore",Bangalore,93%,(412 votes),₹ 2000 fee
Dr. Suguna S   (PhD),dietitian/nutritionist,M.Sc. - Home Science (Community Health and Nutrition),24 Years Experience Overall  (22 years as specialist),"JP Nagar 5 Phase, Bangalore",Bangalore,99%,(118 votes),₹ 2500 fee
Ms. Anwesha,dietitian/nutritionist,"BSc - Dietitics / Nutrition, MSc - Applied Nutrition",7 Years Experience Overall,"Whitefield, Bangalore",Bangalore,99%,(118 votes),₹ 800 fee
Ms. Praseetha,dietitian/nutritionist,MSc - Food Science and Nutrition,4 Years Experience Overall  (3 years as specialist),"Kaggadasapura, Bangalore",Bangalore,100%,(33 votes),₹ 500 fee
Dr. T Ramalakshmi   (PhD),dietitian/nutritionist,"M.Sc. - Home Science (Food & Nutrition), PhD - Home Science (Food and Nutrition)",27 Years Experience Overall  (25 years as specialist),"Kumaraswamy Layout, Bangalore",Bangalore,100%,(33 votes),₹ 700 fee
Ms. Iffat Fathima,dietitian/nutritionist,BSc - Dietitics / Nutrition,12 Years Experience Overall,"HBR Layout, Bangalore",Bangalore,100%,(33 votes),₹ 550 fee
Ms. Bharghavi D,dietitian/nutritionist,"BSc. - Nutrition Food Service Management and Dietetics, MSc. - Food Service Management & Dietetics",17 Years Experience Overall,"Kalyan Nagar, Bangalore",Bangalore,100%,(33 votes),₹ 650 fee
Ms. Padma Singh,dietitian/nutritionist,M.Sc. - Food and Nutrition,19 Years Experience Overall,"Rohini, Delhi",Delhi,95%,(97 votes),₹ 300 fee
Dr. Pankaj Kumar,dietitian/nutritionist,"MBBS, DNB - Family Medicine, DNHE",16 Years Experience Overall  (3 years as specialist),"Dwarka Sector 9, Delhi",Delhi,96%,(237 votes),₹ 700 fee
Ms. Shweta,dietitian/nutritionist,"Diploma in Nutrition and Health Education, Diploma in Diet and Nutrition, Diploma in Diet and Nutrition",15 Years Experience Overall  (14 years as specialist),"Punjabi Bagh, Delhi",Delhi,99%,(1575 votes),₹ 1000 fee
Dr. Sugeeta Mutreja,dietitian/nutritionist,"BAMS, DNHE",23 Years Experience Overall  (7 years as specialist),"Dwarka, Delhi",Delhi,99%,(288 votes),₹ 1000 fee
Dr. Praveen Rustagi,dietitian/nutritionist,"BAMS, DNHE",27 Years Experience Overall  (26 years as specialist),"Malviya Nagar, Delhi",Delhi,96%,(113 votes),₹ 500 fee
Dr. Anjana Kalia,dietitian/nutritionist,"BAMS, Fellowship in Applied Nutrition(FAN)",22 Years Experience Overall  (5 years as specialist),"Dwarka, Delhi",Delhi,99%,(156 votes),₹ 1000 fee
Ms. Raminder Kaur Deshmukh,dietitian/nutritionist,Diploma in Dietetics & Public Health Nutrition (DDPHN),32 Years Experience Overall  (30 years as specialist),"Rajouri Garden, Delhi",Delhi,99%,(493 votes),₹ 3500 fee
Ms. Rashmi Srivastava,dietitian/nutritionist,M.Sc. - Home Science (Food & Nutrition),49 Years Experience Overall  (47 years as specialist),"Malviya Nagar, Delhi",Delhi,100%,(25 votes),₹ 1000 fee
Mr. Himanshu Rai,dietitian/nutritionist,MSc. - Nutrition Sciences,16 Years Experience Overall  (15 years as specialist),"Defence Colony, Delhi",Delhi,99%,(144 votes),₹ 1000 fee
Ms. Dt. Shilpa Chawla,dietitian/nutritionist,"MSc - Dietitics / Nutrition, BSc. - Home Science",21 Years Experience Overall  (11 years as specialist),"Pitampura, Delhi",Delhi,99%,(229 votes),₹ 1500 fee
Ms. Avni Kaul,dietitian/nutritionist,"BSc - Dietitics / Nutrition, M.Sc. - Food and Nutrition",11 Years Experience Overall  (10 years as specialist),"Saket, Delhi",Delhi,97%,(39 votes),₹ 4000 fee
Ms. Ritika Samaddar,dietitian/nutritionist,MSc. - Nutrition Sciences,24 Years Experience Overall,"Saket, Delhi",Delhi,97%,(39 votes),₹ 1000 fee
Ms. Babita,dietitian/nutritionist,"Diploma in Dietetics, Health and Nutrition (DDHN)",10 Years Experience Overall  (9 years as specialist),"Dwarka, Delhi",Delhi,97%,(39 votes),₹ 1000 fee
Ms. Ritu Arora,dietitian/nutritionist,"Diploma in Diet and Nutrition, BSc - Dietitics / Nutrition",7 Years Experience Overall  (4 years as specialist),"Paschim Vihar, Delhi",Delhi,100%,(11 votes),₹ 1000 fee
